Tm_encoded,Pos_encoded,Player_Encoded,Season,MP,FG,FGA,3P,2P,2PA,FT,FTA,DRB,TRB,AST,BLK,TOV,PF,PTS,PER,TS%,FTr,BLK%,TOV%,OWS,DWS,WS,WS/48,BPM,VORP,Balance,all_rookie
11,4,38,2022,2073,284,644,92,192,381,49,62,164,199,341,13,126,179,709,10.0,0.528,0.096,0.5,15.8,0.4,0.8,1.2,0.029,-3.2,-0.6,0.4268292682926829,0.0
14,1,184,2022,1258,180,420,65,115,208,41,65,143,193,59,19,57,107,466,8.8,0.519,0.155,1.4,11.3,-0.3,1.4,1.1,0.043,-3.9,-0.6,0.6219512195121951,0.0
9,2,738,2022,62,7,20,3,4,11,6,6,9,12,6,1,16,10,23,-1.4,0.508,0.3,1.4,41.4,-0.3,0.1,-0.3,-0.218,-15.0,-0.2,0.5365853658536586,0.0
27,4,759,2022,1779,306,648,102,204,365,75,105,173,236,94,24,83,136,789,11.5,0.568,0.162,1.2,10.7,0.6,0.6,1.2,0.032,-3.3,-0.6,0.4024390243902439,0.0
10,1,325,2022,2451,364,892,120,244,501,162,206,447,569,101,74,104,227,1010,11.2,0.514,0.231,3.0,9.6,0.5,1.4,1.9,0.037,-3.7,-1.1,0.2682926829268293,0.0
29,1,400,2022,1458,250,552,33,217,418,81,116,200,295,142,23,97,138,614,11.4,0.509,0.21,1.3,13.9,-0.5,0.7,0.2,0.005,-4.0,-0.7,0.2682926829268293,2.0
3,4,155,2022,214,32,72,7,25,45,14,21,25,37,22,5,8,24,85,14.1,0.523,0.292,2.3,9.0,0.1,0.3,0.5,0.105,0.0,0.1,0.4878048780487805,0.0
27,3,326,2022,619,83,198,16,67,142,34,45,83,131,34,13,29,69,216,9.6,0.496,0.227,1.9,11.8,-0.1,0.3,0.2,0.015,-6.1,-0.6,0.4024390243902439,0.0
10,2,841,2022,433,58,160,19,39,80,10,18,43,45,47,2,14,29,145,7.5,0.432,0.113,0.5,7.7,-0.3,0.1,-0.1,-0.016,-6.3,-0.5,0.2682926829268293,0.0
7,4,685,2022,186,29,59,6,23,45,11,20,29,37,11,11,8,14,75,12.8,0.553,0.339,5.2,10.6,0.1,0.2,0.3,0.073,-2.8,0.0,0.6463414634146342,0.0
29,4,65,2022,669,69,215,20,49,163,26,44,70,81,99,5,65,67,184,3.5,0.393,0.205,0.6,21.7,-1.9,0.3,-1.6,-0.114,-9.6,-1.3,0.2682926829268293,0.0
23,4,345,2022,2276,414,794,73,341,589,155,191,253,337,248,35,123,191,1056,15.6,0.601,0.241,1.4,12.3,3.0,2.6,5.6,0.119,0.3,1.3,0.4878048780487805,1.0
23,0,388,2022,914,102,234,46,56,121,38,54,197,241,76,12,37,111,288,11.2,0.559,0.231,1.2,12.6,0.7,1.2,1.9,0.099,-1.7,0.1,0.4878048780487805,0.0
14,4,861,2022,105,12,40,4,8,12,2,2,11,15,4,2,5,12,30,3.9,0.367,0.05,1.7,10.9,-0.3,0.2,-0.1,-0.049,-8.5,-0.2,0.6219512195121951,0.0
14,1,745,2021,360,53,132,6,47,84,20,32,54,87,21,10,16,36,132,10.2,0.452,0.242,2.5,9.9,-0.1,0.4,0.3,0.044,-5.7,-0.3,0.6829268292682927,0.0
31,2,154,2021,696,83,202,13,70,151,26,44,86,124,99,10,53,68,205,10.0,0.463,0.218,1.4,19.3,-0.4,0.8,0.4,0.03,-3.1,-0.2,0.5853658536585366,0.0
31,1,749,2021,2617,459,932,58,401,739,158,215,362,557,256,55,136,192,1134,16.3,0.552,0.231,2.1,11.7,3.7,2.9,6.6,0.122,0.9,1.9,0.5853658536585366,1.0
25,0,115,2021,168,30,47,0,30,43,9,12,40,62,7,17,8,32,69,21.5,0.66,0.255,9.1,13.3,0.4,0.3,0.8,0.22,1.7,0.2,0.6219512195121951,0.0
12,4,76,2021,760,125,325,34,91,214,59,72,94,111,51,13,31,43,343,11.2,0.481,0.222,1.5,8.0,-0.5,0.9,0.4,0.026,-3.3,-0.3,0.5121951219512195,0.0
4,4,352,2021,304,49,141,17,32,92,27,31,30,52,26,1,15,29,142,10.1,0.459,0.22,0.3,8.8,-0.1,0.1,0.0,0.001,-7.1,-0.4,0.524390243902439,0.0
27,3,293,2021,640,81,190,19,62,129,44,65,97,135,35,24,36,90,225,11.0,0.515,0.342,3.7,14.1,-0.1,0.5,0.4,0.029,-4.7,-0.4,0.3292682926829268,0.0
32,4,361,2021,360,61,151,28,33,63,11,16,40,45,63,8,33,47,161,12.1,0.509,0.106,2.0,17.3,0.0,0.5,0.4,0.057,-1.6,0.0,0.5975609756097561,0.0
10,4,444,2021,1334,224,500,56,168,311,83,113,134,186,150,13,114,97,587,12.2,0.534,0.226,0.9,17.2,-0.4,0.7,0.3,0.01,-3.5,-0.5,0.2439024390243902,0.0
8,4,96,2021,2088,429,1031,114,315,668,142,168,296,354,356,43,234,200,1114,13.1,0.504,0.163,1.9,17.5,-2.4,1.9,-0.5,-0.011,-1.6,0.2,0.2804878048780488,1.0
3,4,57,2021,2110,278,535,70,208,349,53,78,187,214,256,29,108,182,679,11.2,0.596,0.146,1.2,15.9,1.7,1.3,3.0,0.069,-2.0,0.0,0.5609756097560976,2.0
11,4,122,2021,1541,268,621,94,174,366,90,112,185,226,114,10,90,95,720,12.3,0.537,0.18,0.6,11.8,0.2,0.7,0.9,0.029,-2.3,-0.1,0.3048780487804878,2.0
10,1,857,2021,240,19,44,5,14,24,5,7,62,83,17,11,6,28,48,12.9,0.51,0.159,4.1,11.3,0.2,0.3,0.5,0.105,-0.9,0.1,0.2439024390243902,0.0
8,0,551,2021,389,66,147,16,50,98,38,61,42,100,20,6,18,55,186,15.6,0.535,0.415,1.4,9.4,0.5,0.2,0.8,0.093,-2.5,-0.1,0.2804878048780488,0.0
23,3,445,2021,1700,281,670,56,225,457,56,79,323,421,345,20,171,88,674,13.3,0.478,0.118,1.1,19.5,-1.3,1.7,0.4,0.01,-0.9,0.5,0.2926829268292683,2.0
10,4,339,2021,2138,406,954,157,249,496,188,236,193,226,176,18,135,103,1157,12.5,0.547,0.247,0.8,11.3,0.5,0.2,0.7,0.015,-2.9,-0.5,0.2439024390243902,1.0
22,4,687,2021,786,95,235,72,23,46,13,19,70,94,44,11,28,72,275,10.7,0.565,0.081,1.4,10.3,0.6,0.9,1.4,0.087,-0.3,0.3,0.4512195121951219,0.0
7,4,70,2021,1310,230,571,131,99,213,107,125,174,188,191,20,86,153,698,14.4,0.558,0.219,1.4,12.1,1.1,1.3,2.4,0.088,-0.4,0.5,0.5853658536585366,2.0
11,0,310,2021,541,116,206,5,111,190,60,88,89,149,10,52,40,92,297,20.5,0.607,0.427,8.4,14.0,0.7,0.7,1.4,0.126,-1.6,0.0,0.3048780487804878,0.0
0,1,341,2021,120,22,41,3,19,28,5,7,24,26,3,2,9,9,52,11.3,0.59,0.171,1.5,17.0,-0.1,0.1,0.0,0.013,-4.9,-0.1,0.524390243902439,0.0
12,4,495,2021,135,17,51,3,14,40,16,21,15,21,13,2,7,21,53,9.4,0.44,0.412,1.3,10.4,-0.1,0.2,0.1,0.018,-5.7,-0.1,0.5121951219512195,0.0
27,4,495,2021,562,79,221,31,48,132,25,30,42,60,63,10,39,48,214,8.5,0.457,0.136,1.8,14.3,-0.7,0.2,-0.5,-0.043,-6.0,-0.6,0.3292682926829268,0.0
21,1,303,2021,2335,274,576,57,217,407,137,163,198,296,167,60,100,238,742,12.3,0.573,0.283,2.5,13.4,2.1,2.5,4.6,0.096,-0.5,0.9,0.4390243902439024,2.0
4,0,475,2021,63,9,14,1,8,12,3,8,8,11,4,2,6,8,22,9.2,0.628,0.571,3.0,25.5,0.0,0.0,0.0,0.009,-6.6,-0.1,0.524390243902439,0.0
16,3,278,2021,48,5,11,2,3,7,4,9,4,8,0,1,4,8,16,5.8,0.535,0.818,2.0,21.1,0.0,0.0,0.0,-0.01,-7.9,-0.1,0.6219512195121951,0.0
23,3,278,2021,166,26,56,8,18,34,10,21,11,13,12,1,16,11,70,9.4,0.536,0.375,0.6,19.7,-0.2,0.2,-0.1,-0.028,-6.8,-0.2,0.2926829268292683,0.0
34,3,140,2021,1801,234,514,112,122,194,54,62,156,209,85,22,50,93,634,10.9,0.586,0.121,1.0,8.5,1.6,0.7,2.3,0.061,-2.3,-0.1,0.4268292682926829,0.0
9,3,431,2021,1185,236,460,50,186,311,130,190,180,234,64,22,74,146,652,15.2,0.6,0.413,1.8,12.0,1.3,1.8,3.0,0.123,-1.5,0.1,0.6463414634146342,0.0
8,3,312,2021,383,41,90,27,14,26,12,14,42,57,21,7,15,37,121,11.1,0.629,0.156,1.6,13.5,0.4,0.3,0.7,0.085,-1.5,0.0,0.2804878048780488,0.0
16,1,744,2021,407,57,115,22,35,63,18,22,47,82,22,9,15,28,154,14.7,0.618,0.191,2.1,10.7,0.8,0.3,1.1,0.135,-0.3,0.2,0.6219512195121951,0.0
23,2,826,2021,1367,231,588,98,133,316,65,82,146,171,91,12,71,102,625,10.2,0.501,0.139,0.8,10.2,-1.0,1.0,0.1,0.002,-4.4,-0.8,0.2926829268292683,0.0
22,2,621,2021,372,32,108,17,15,40,8,12,38,42,41,1,5,45,89,6.1,0.393,0.111,0.3,4.2,-0.1,0.4,0.2,0.032,-4.5,-0.2,0.4512195121951219,0.0
28,2,186,2021,2076,352,843,101,251,523,56,85,133,166,313,24,114,141,861,10.8,0.489,0.101,1.0,11.5,-0.5,0.6,0.1,0.003,-3.8,-0.9,0.3658536585365853,0.0
5,1,264,2021,2331,422,830,23,399,738,167,252,427,570,174,115,133,147,1034,16.1,0.549,0.304,4.4,12.4,1.5,3.7,5.2,0.107,0.6,1.5,0.5365853658536586,1.0
9,4,632,2021,607,80,183,40,40,73,28,36,63,80,23,10,13,43,228,10.5,0.573,0.197,1.6,6.1,0.6,0.7,1.3,0.101,-2.5,-0.1,0.6463414634146342,0.0
21,3,833,2021,864,109,277,71,38,91,45,51,100,147,38,7,16,60,334,12.5,0.558,0.184,0.8,5.1,1.3,0.6,1.9,0.104,-1.2,0.2,0.4390243902439024,0.0
29,3,456,2021,965,101,270,42,59,133,44,59,81,113,81,23,57,79,288,7.1,0.487,0.219,2.0,16.1,-0.6,0.6,0.0,0.001,-5.0,-0.7,0.4146341463414634,0.0
23,0,397,2021,1087,134,324,58,76,159,40,54,199,274,49,15,39,75,366,11.7,0.526,0.167,1.3,10.1,0.4,1.0,1.5,0.065,-2.2,-0.1,0.2926829268292683,0.0
10,0,26,2021,1489,249,525,29,220,408,165,232,255,393,185,68,145,214,692,16.0,0.552,0.442,4.1,18.8,0.8,1.3,2.1,0.068,-1.0,0.4,0.2439024390243902,0.0
24,2,344,2021,1307,198,548,42,156,352,126,163,145,171,209,19,143,142,564,8.6,0.455,0.297,1.3,18.7,-3.0,1.3,-1.6,-0.06,-5.6,-1.2,0.2682926829268293,0.0
4,1,321,2021,262,24,55,7,17,28,12,20,32,43,19,11,10,26,67,9.7,0.525,0.364,4.0,13.6,0.1,0.2,0.3,0.058,-3.0,-0.1,0.524390243902439,0.0
34,1,316,2021,74,7,26,4,3,10,2,6,9,12,4,2,4,4,20,4.7,0.349,0.231,2.3,12.3,-0.2,0.1,-0.2,-0.104,-6.9,-0.1,0.4268292682926829,0.0
24,3,271,2021,2429,456,975,96,360,704,189,219,272,356,231,34,119,164,1197,14.7,0.559,0.225,1.3,10.0,2.1,1.9,4.0,0.079,-0.7,0.8,0.2682926829268293,1.0
29,4,416,2021,205,20,56,14,6,13,7,13,10,14,9,3,2,14,61,7.1,0.494,0.232,1.2,3.1,0.1,0.1,0.1,0.035,-3.9,-0.1,0.4146341463414634,0.0
23,4,9,2021,1209,156,337,42,114,199,62,85,127,178,68,10,54,93,416,10.3,0.556,0.252,0.8,12.6,0.5,0.8,1.2,0.048,-4.3,-0.7,0.2926829268292683,0.0
14,3,892,2021,1346,191,424,76,115,182,43,55,103,129,65,12,41,113,501,9.7,0.559,0.13,0.8,8.4,1.1,1.1,2.2,0.08,-3.0,-0.3,0.6829268292682927,0.0
15,1,686,2020,737,124,228,0,124,227,56,110,135,208,29,28,43,91,304,14.2,0.55,0.482,4.0,13.5,0.3,1.0,1.3,0.085,-4.1,-0.4,0.5555555555555556,0.0
24,2,137,2020,1273,219,552,58,161,380,109,131,183,221,192,18,106,98,605,12.1,0.496,0.237,1.3,14.8,-0.9,0.9,0.0,-0.001,-3.3,-0.4,0.2916666666666667,0.0
34,3,204,2020,1257,130,312,53,77,144,29,45,240,262,63,15,33,140,342,7.6,0.515,0.144,1.0,9.0,0.0,1.2,1.2,0.046,-3.1,-0.4,0.4722222222222222,0.0
4,2,525,2020,1469,293,672,92,201,411,125,165,239,302,313,18,145,136,803,17.5,0.539,0.246,1.2,16.3,1.0,1.9,2.8,0.093,1.8,1.4,0.4583333333333333,1.0
14,4,214,2020,1519,234,499,117,117,228,40,49,179,210,118,16,59,125,625,12.2,0.6,0.098,0.9,10.2,1.6,1.3,2.9,0.093,-0.8,0.5,0.5277777777777778,2.0
8,3,740,2020,1909,279,691,175,104,231,124,147,275,318,95,14,60,110,857,12.6,0.567,0.213,0.6,7.4,1.6,1.7,3.3,0.082,-0.5,0.7,0.2777777777777778,1.0
6,3,842,2020,71,7,22,1,6,18,3,5,11,19,3,1,3,6,18,5.9,0.372,0.227,1.3,11.0,-0.1,0.0,0.0,-0.033,-9.5,-0.1,0.5833333333333334,0.0
4,0,858,2020,115,18,36,1,17,29,9,11,21,27,2,5,5,13,46,11.7,0.563,0.306,4.3,10.9,0.0,0.1,0.2,0.066,-6.1,-0.1,0.4583333333333333,0.0
17,4,46,2020,2314,505,1211,171,334,691,211,272,277,336,211,36,160,129,1392,13.9,0.523,0.225,1.3,10.7,-0.6,1.4,0.8,0.017,-2.1,-0.1,0.3194444444444444,1.0
27,3,94,2020,192,25,66,7,18,32,11,15,21,32,10,3,5,27,68,9.4,0.468,0.227,1.4,6.4,0.0,0.1,0.1,0.032,-4.9,-0.1,0.5833333333333334,0.0
31,2,562,2020,928,127,340,54,73,172,45,56,106,116,137,7,43,68,353,10.9,0.484,0.165,0.8,10.5,0.0,0.8,0.8,0.041,-2.6,-0.1,0.375,0.0
6,4,446,2020,445,42,93,4,38,68,13,23,50,78,28,3,17,35,101,8.8,0.49,0.247,0.6,14.2,0.1,0.4,0.5,0.05,-3.6,-0.2,0.5833333333333334,0.0
28,2,852,2020,1746,292,619,121,171,323,48,56,134,173,309,28,92,83,753,16.2,0.585,0.09,1.4,12.5,2.8,0.7,3.5,0.096,1.4,1.5,0.4305555555555556,1.0
7,4,696,2020,233,25,60,5,20,42,9,12,40,50,14,2,11,22,64,7.7,0.49,0.2,0.8,14.4,-0.1,0.2,0.1,0.03,-5.3,-0.2,0.6527777777777778,0.0
24,4,696,2020,655,111,253,22,89,184,46,70,110,129,73,8,42,39,290,12.3,0.511,0.277,1.1,12.9,-0.2,0.5,0.2,0.018,-3.3,-0.2,0.2916666666666667,0.0
31,4,340,2020,172,36,72,17,19,36,7,9,15,18,17,0,14,15,96,15.2,0.632,0.125,0.0,15.6,0.1,0.1,0.3,0.079,0.3,0.1,0.375,0.0
8,2,506,2020,670,71,201,20,51,129,14,17,63,69,138,10,83,57,176,5.3,0.422,0.085,1.3,28.5,-1.8,0.6,-1.1,-0.081,-7.2,-0.9,0.2777777777777778,0.0
32,3,254,2020,64,10,30,8,2,7,3,4,8,9,6,1,6,1,31,8.4,0.488,0.133,1.3,15.9,-0.1,0.1,0.0,-0.013,-2.8,0.0,0.7222222222222222,0.0
25,4,311,2020,383,48,133,39,9,27,18,24,30,36,20,4,11,34,153,9.5,0.533,0.18,0.9,7.1,0.2,0.4,0.6,0.078,-3.0,-0.1,0.6805555555555556,0.0
29,2,825,2020,269,37,78,3,34,73,17,19,13,21,39,0,13,13,94,12.1,0.544,0.244,0.0,13.1,0.2,0.1,0.4,0.066,-3.5,-0.1,0.4583333333333333,0.0
8,2,739,2020,781,99,210,8,91,187,61,89,77,97,174,13,55,76,267,13.8,0.536,0.424,1.5,18.1,0.7,0.8,1.5,0.091,-2.0,0.0,0.2777777777777778,0.0
21,2,508,2020,904,130,337,40,90,217,43,51,59,71,124,10,34,88,343,10.3,0.477,0.151,1.0,8.6,0.2,0.6,0.9,0.045,-3.4,-0.3,0.4305555555555556,0.0
23,2,809,2020,1778,226,614,105,121,301,101,135,186,211,227,11,141,126,658,8.2,0.489,0.22,0.5,17.3,-1.9,1.1,-0.8,-0.021,-5.0,-1.3,0.3055555555555556,0.0
9,2,645,2020,364,39,114,22,17,54,23,28,40,46,70,1,31,29,123,9.3,0.487,0.246,0.2,19.7,-0.2,0.4,0.2,0.029,-3.9,-0.2,0.5416666666666666,0.0
10,3,472,2020,1068,162,318,35,127,222,60,84,169,242,48,41,38,89,419,14.6,0.59,0.264,3.4,9.7,1.3,0.9,2.2,0.099,-1.8,0.0,0.2361111111111111,0.0
25,4,854,2020,935,198,429,31,167,326,61,70,93,104,120,13,41,79,488,14.5,0.531,0.163,1.2,8.2,0.8,1.1,1.9,0.099,-1.5,0.1,0.6805555555555556,0.0
0,4,772,2020,269,44,98,14,30,58,22,25,25,35,30,2,9,15,124,16.8,0.569,0.255,0.7,7.6,0.5,0.3,0.8,0.14,1.9,0.3,0.5694444444444444,0.0
17,1,331,2020,1511,164,367,72,92,169,27,45,180,232,71,60,47,172,427,8.9,0.552,0.123,3.4,10.8,0.5,0.9,1.4,0.046,-3.5,-0.6,0.3194444444444444,0.0
16,4,742,2020,233,32,72,21,11,25,4,4,24,30,21,1,10,17,89,11.9,0.603,0.056,0.4,11.9,0.3,0.2,0.5,0.102,-1.0,0.1,0.6388888888888888,0.0
1,3,8,2020,669,78,178,40,38,70,22,28,99,127,23,9,23,87,218,9.4,0.573,0.157,1.3,10.8,0.5,0.6,1.1,0.076,-3.2,-0.2,0.5,0.0
7,1,890,2020,397,50,104,24,26,45,12,15,51,65,10,4,7,29,136,11.3,0.615,0.144,1.0,6.0,0.6,0.3,0.9,0.104,-1.7,0.0,0.6527777777777778,0.0
16,3,440,2020,274,62,135,28,34,73,19,25,51,60,7,7,24,22,171,16.1,0.586,0.185,2.3,14.1,0.0,0.4,0.4,0.068,-1.1,0.1,0.6388888888888888,0.0
0,0,661,2020,601,96,149,0,96,146,36,57,101,163,18,33,29,100,228,16.8,0.655,0.383,4.8,14.3,1.1,0.8,1.9,0.155,-1.4,0.1,0.5694444444444444,0.0
5,4,308,2020,2173,235,559,62,173,345,114,157,138,206,128,24,86,185,646,7.9,0.514,0.281,1.0,12.0,-0.1,1.0,0.9,0.02,-5.1,-1.7,0.3055555555555556,2.0
12,0,167,2020,161,22,52,1,21,47,9,12,27,48,10,7,9,24,54,12.5,0.471,0.231,3.9,13.6,0.0,0.2,0.3,0.081,-5.2,-0.1,0.6527777777777778,0.0
23,1,21,2020,1090,139,408,58,81,201,31,42,182,212,97,42,99,58,367,6.1,0.43,0.103,3.4,18.8,-2.9,1.0,-1.9,-0.084,-6.1,-1.1,0.3055555555555556,0.0
1,4,682,2020,1268,184,418,102,82,170,40,45,125,158,120,9,53,104,510,12.4,0.582,0.108,0.7,10.8,1.6,0.9,2.5,0.095,-0.7,0.4,0.5,0.0
22,2,306,2020,1243,229,580,118,111,277,155,174,112,137,127,12,58,114,731,15.8,0.557,0.3,0.9,8.1,1.8,1.4,3.2,0.125,0.9,0.9,0.5694444444444444,2.0
28,4,334,2020,94,15,38,5,10,19,5,5,8,10,6,1,3,8,40,10.5,0.498,0.132,0.9,6.9,0.0,0.0,0.0,0.012,-4.5,-0.1,0.4305555555555556,0.0
25,1,680,2020,177,42,78,0,42,72,4,8,31,61,12,13,12,29,88,21.2,0.54,0.103,6.6,12.8,0.2,0.4,0.6,0.162,-1.0,0.0,0.6805555555555556,0.0
4,1,642,2020,63,4,9,0,4,8,7,11,7,11,2,0,3,7,15,5.5,0.542,1.222,0.0,17.8,0.0,0.0,0.0,0.026,-8.0,-0.1,0.4583333333333333,0.0
12,4,384,2020,84,14,36,2,12,27,5,5,12,14,1,0,7,5,35,6.3,0.458,0.139,0.0,15.5,-0.2,0.1,-0.1,-0.072,-10.9,-0.2,0.6527777777777778,0.0
26,1,343,2020,156,22,50,4,18,33,5,7,30,37,4,5,7,16,53,8.4,0.499,0.14,2.9,11.7,-0.1,0.2,0.1,0.022,-6.1,-0.2,0.7083333333333334,0.0
11,4,110,2020,93,13,43,3,10,30,7,9,12,20,1,2,1,14,36,5.5,0.383,0.209,1.7,2.1,-0.2,0.1,-0.1,-0.05,-11.2,-0.2,0.4722222222222222,0.0
8,0,314,2020,1455,226,409,21,205,346,64,92,294,453,59,86,67,184,537,16.4,0.597,0.225,5.2,13.0,1.9,2.1,4.0,0.132,-1.1,0.3,0.2777777777777778,2.0
6,2,851,2020,56,5,16,0,5,9,1,3,6,6,6,0,2,2,11,6.0,0.318,0.188,0.0,10.4,-0.1,0.1,-0.1,-0.049,-5.0,0.0,0.5833333333333334,0.0
14,1,884,2020,1085,167,299,22,145,234,34,53,182,256,75,33,45,116,390,14.7,0.605,0.177,2.7,12.3,1.4,1.5,2.9,0.127,-0.2,0.5,0.5277777777777778,0.0
22,1,657,2020,683,104,209,26,78,124,19,26,112,138,29,15,23,55,253,12.7,0.574,0.124,2.1,9.4,0.5,1.0,1.5,0.109,-0.7,0.2,0.5694444444444444,0.0
