Rk,Player,Season,Pos,Tm,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,all_rookie
12,Robert Archibald,2002,PF,MEM,12,72,6,20,0.3,0,0,,6,20,0.3,0.3,7,18,0.389,6,11,17,3,0,3,7,9,19,2.4,0.34,0.0,0.9,9.5,17.0,13.3,6.1,0.0,2.9,20.0,21.8,-0.3,0.0,-0.2,-0.158,-8.8,-3.3,-12.0,-0.2,0.0
28,Lonny Baxter,2002,C,CHI,55,682,96,206,0.466,0,2,0.0,96,204,0.471,0.466,70,103,0.68,65,100,165,16,9,22,46,135,262,11.3,0.521,0.01,0.5,10.7,16.0,13.4,3.8,0.7,2.3,15.5,19.3,0.4,0.5,0.9,0.063,-4.0,-1.4,-5.4,-0.6,0.0
38,Carlos Boozer,2002,PF,CLE,81,2049,331,618,0.536,0,1,0.0,331,617,0.536,0.536,148,192,0.771,202,407,609,106,59,50,103,224,810,17.9,0.577,0.002,0.311,10.8,22.7,16.6,9.3,1.5,1.7,12.8,17.1,4.2,1.8,5.9,0.139,0.6,-0.6,0.0,1.0,2.0
61,Caron Butler,2002,SF,MIA,78,2858,429,1032,0.416,34,107,0.318,395,925,0.427,0.432,309,375,0.824,135,262,397,213,137,31,192,230,1201,15.1,0.502,0.104,0.363,5.3,10.9,8.0,14.1,2.6,0.9,13.8,22.9,1.6,3.6,5.1,0.086,-0.4,1.0,0.5,1.8,1.0
62,Rasual Butler,2002,SG,MIA,72,1514,207,572,0.362,50,171,0.292,157,401,0.392,0.406,76,104,0.731,29,157,186,93,21,43,77,105,540,9.5,0.437,0.299,0.182,2.1,12.3,7.1,11.4,0.8,2.2,11.1,21.6,-1.4,1.4,0.1,0.002,-1.9,-0.6,-2.5,-0.2,0.0
99,Dan Dickau,2002,PG,ATL,50,515,70,170,0.412,22,61,0.361,48,109,0.44,0.476,21,26,0.808,9,34,43,85,14,2,53,66,183,9.9,0.504,0.359,0.153,2.1,7.2,4.8,28.3,1.4,0.3,22.6,20.9,-0.1,0.1,0.0,0.001,-2.7,-2.4,-5.1,-0.4,0.0
103,Juan Dixon,2002,PG,WAS,42,647,104,271,0.384,25,84,0.298,79,187,0.422,0.43,37,46,0.804,13,59,72,40,26,3,42,54,270,11.0,0.464,0.31,0.17,2.4,10.8,6.6,11.3,2.2,0.3,12.6,24.3,-0.5,0.5,0.1,0.005,-2.6,-1.2,-3.8,-0.3,0.0
110,Mike Dunleavy,2002,SF,GSW,82,1305,168,417,0.403,52,150,0.347,116,267,0.434,0.465,78,100,0.78,66,148,214,106,53,19,86,120,466,12.5,0.505,0.36,0.24,5.4,11.9,8.7,12.6,2.1,1.0,15.7,17.8,1.1,0.4,1.5,0.055,-0.3,-0.5,-0.8,0.4,0.0
113,Melvin Ely,2002,C,LAC,52,802,92,186,0.495,0,0,,92,186,0.495,0.495,52,74,0.703,64,110,174,15,10,32,50,95,236,10.8,0.54,0.0,0.398,9.1,15.4,12.3,3.1,0.7,2.8,18.6,15.1,0.4,0.4,0.8,0.048,-3.1,-1.1,-4.2,-0.4,0.0
130,Dan Gadzuric,2002,C,MIL,49,760,70,145,0.483,0,1,0.0,70,144,0.486,0.483,29,56,0.518,66,131,197,9,22,52,27,125,169,11.2,0.498,0.007,0.386,10.1,20.3,15.2,1.8,1.5,5.1,13.7,12.0,0.4,0.7,1.2,0.075,-3.6,0.1,-3.5,-0.3,0.0
140,Drew Gooden,2002,SF-PF,TOT,70,1873,355,777,0.457,14,48,0.292,341,729,0.468,0.466,151,212,0.712,163,292,455,83,53,35,150,172,875,15.0,0.503,0.062,0.273,9.8,17.7,13.7,7.8,1.5,1.3,14.7,24.5,0.4,1.3,1.7,0.043,-1.1,-1.9,-3.0,-0.4,1.0
140,Drew Gooden,2002,SF,MEM,51,1329,255,576,0.443,14,46,0.304,241,530,0.455,0.455,92,132,0.697,105,190,295,63,38,22,105,121,616,13.8,0.486,0.08,0.229,9.0,15.9,12.5,8.3,1.5,1.1,14.2,25.0,-0.3,0.7,0.4,0.015,-1.4,-1.9,-3.3,-0.4,1.0
140,Drew Gooden,2002,PF,ORL,19,544,100,201,0.498,0,2,0.0,100,199,0.503,0.498,59,80,0.738,58,102,160,20,15,13,45,51,259,18.0,0.548,0.01,0.398,11.9,22.1,16.8,6.6,1.4,1.8,16.0,23.1,0.7,0.6,1.3,0.112,-0.3,-1.7,-2.0,0.0,1.0
147,Marcus Haislip,2002,PF,MIL,39,441,66,153,0.431,3,12,0.25,63,141,0.447,0.441,26,38,0.684,21,32,53,9,7,18,21,55,161,9.6,0.474,0.078,0.248,5.5,8.5,7.0,3.3,0.8,3.0,11.0,20.1,-0.1,0.1,0.0,-0.003,-3.6,-2.3,-5.9,-0.4,0.0
166,Nenê,2002,C,DEN,80,2258,321,619,0.519,0,3,0.0,321,616,0.521,0.519,197,341,0.578,208,283,491,149,127,65,181,295,839,15.4,0.545,0.005,0.551,10.2,15.3,12.7,12.2,3.0,2.3,19.1,18.7,1.3,3.8,5.0,0.107,-1.1,1.9,0.8,1.6,0.0
177,Ryan Humphrey,2002,PF,TOT,48,444,35,120,0.292,0,0,,35,120,0.292,0.292,23,39,0.59,34,65,99,11,9,18,23,75,93,4.1,0.339,0.0,0.325,8.6,16.8,12.7,3.7,1.0,3.0,14.4,16.2,-0.9,0.4,-0.5,-0.052,-7.8,-1.5,-9.3,-0.8,0.0
177,Ryan Humphrey,2002,PF,ORL,35,322,23,85,0.271,0,0,,23,85,0.271,0.271,18,28,0.643,30,39,69,7,4,16,21,57,64,2.9,0.329,0.0,0.329,10.4,14.3,12.3,3.2,0.6,3.7,17.7,16.4,-0.7,0.3,-0.5,-0.071,-8.3,-1.9,-10.2,-0.7,0.0
177,Ryan Humphrey,2002,PF,MEM,13,122,12,35,0.343,0,0,,12,35,0.343,0.343,5,11,0.455,4,26,30,4,5,2,2,18,29,7.2,0.364,0.0,0.314,3.7,23.6,13.8,4.9,2.1,1.1,4.8,15.4,-0.1,0.1,0.0,-0.001,-6.5,-0.3,-6.8,-0.2,0.0
188,Casey Jacobsen,2002,SF,PHO,72,1147,122,327,0.373,52,165,0.315,70,162,0.432,0.453,72,105,0.686,29,54,83,73,35,6,55,90,368,9.2,0.493,0.505,0.321,2.8,5.4,4.1,9.8,1.6,0.4,12.8,16.7,0.5,0.7,1.2,0.051,-1.9,-0.3,-2.3,-0.1,0.0
193,Chris Jefferies,2002,SF,TOR,51,666,75,194,0.387,18,54,0.333,57,140,0.407,0.433,29,43,0.674,16,43,59,22,19,16,45,56,197,6.8,0.463,0.278,0.222,2.6,7.7,5.0,5.4,1.5,1.7,17.4,17.7,-0.8,0.2,-0.5,-0.039,-4.2,-1.7,-5.8,-0.7,0.0
195,Jared Jeffries,2002,SF,WAS,20,292,30,63,0.476,3,6,0.5,27,57,0.474,0.5,16,29,0.552,26,32,58,16,8,5,21,28,79,11.1,0.521,0.095,0.46,10.5,13.0,11.7,9.0,1.5,1.3,21.7,15.6,0.1,0.2,0.3,0.049,-1.7,-0.6,-2.3,0.0,0.0
203,Fred Jones,2002,SG,IND,19,115,9,24,0.375,2,7,0.286,7,17,0.412,0.417,3,4,0.75,4,5,9,5,6,1,6,13,23,5.5,0.446,0.292,0.167,4.0,4.8,4.4,6.7,2.7,0.6,18.9,12.5,-0.1,0.1,0.0,0.019,-4.8,1.1,-3.7,0.0,0.0
227,Tito Maddox,2002,SG,HOU,9,35,3,12,0.25,0,3,0.0,3,9,0.333,0.25,5,8,0.625,1,6,7,5,3,1,3,4,11,11.2,0.354,0.25,0.667,3.4,19.3,11.5,22.8,4.6,2.0,16.2,24.4,-0.1,0.1,0.0,-0.011,-5.2,3.8,-1.4,0.0,0.0
243,Roger Mason,2002,SF,CHI,17,113,11,31,0.355,6,18,0.333,5,13,0.385,0.452,2,2,1.0,2,10,12,12,4,0,5,20,30,7.4,0.471,0.581,0.065,2.0,9.6,5.9,16.3,1.8,0.0,13.6,14.5,0.0,0.1,0.1,0.038,-3.5,-0.8,-4.3,-0.1,0.0
260,Yao Ming,2002,C,HOU,82,2382,401,805,0.498,1,2,0.5,400,803,0.498,0.499,301,371,0.811,196,479,675,137,31,147,173,230,1104,20.6,0.57,0.002,0.461,9.7,22.6,16.3,10.6,0.7,4.4,15.2,22.1,5.2,3.5,8.7,0.176,1.3,0.9,2.2,2.5,1.0
267,Ronald Murray,2002,SG,TOT,14,62,11,31,0.355,0,5,0.0,11,26,0.423,0.355,5,8,0.625,0,4,4,5,4,0,8,0,27,6.6,0.391,0.161,0.258,0.0,7.7,3.8,13.9,3.4,0.0,18.8,32.0,-0.3,0.0,-0.3,-0.198,-6.6,-2.0,-8.5,-0.1,0.0
