,Unnamed: 0,Rk,Player,Pos,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,all_nba
0,10,11,Al-Farouq Aminu,SF,66,1477,150,365,0.411,13,47,0.277,137,318,0.431,0.429,86,114,0.754,95,213,308,66,59,34,91,136,399,10.6,0.481,0.129,0.312,7.8,16.9,12.4,7.2,2.2,1.9,18.0,16.2,-0.4,1.8,1.4,0.044,-2.9,0.7,-2.2,-0.1,0.0
1,20,21,Ömer Aşık,C,66,971,79,156,0.506,0,0,,79,156,0.506,0.506,47,103,0.456,127,223,350,32,30,68,68,121,205,13.4,0.509,0.0,0.66,14.9,25.1,20.1,4.8,1.7,5.0,25.2,12.6,0.1,2.5,2.6,0.129,-3.2,2.5,-0.7,0.3,0.0
2,36,35,Shane Battier,SF,65,1499,113,292,0.387,62,183,0.339,51,109,0.468,0.493,23,37,0.622,56,100,156,82,64,33,37,105,311,9.7,0.504,0.627,0.127,4.6,7.7,6.2,8.0,2.2,1.8,10.7,10.7,1.2,2.1,3.3,0.104,-0.7,1.6,0.9,1.1,0.0
3,41,40,Marco Belinelli,SG,66,1966,286,686,0.417,107,284,0.377,179,402,0.445,0.495,101,129,0.783,19,153,172,101,48,5,69,115,780,11.9,0.525,0.414,0.188,1.2,9.1,5.2,8.9,1.3,0.2,8.5,19.5,1.9,1.0,2.9,0.071,-0.4,-0.8,-1.2,0.4,0.0
4,54,53,Matt Bonner,PF,65,1326,154,350,0.44,105,250,0.42,49,100,0.49,0.59,16,21,0.762,29,185,214,61,15,21,14,68,429,13.2,0.597,0.714,0.06,2.6,15.7,9.3,6.5,0.6,1.1,3.8,12.8,2.7,1.2,4.0,0.143,2.4,0.3,2.6,1.5,0.0
5,56,55,Carlos Boozer,PF,66,1948,448,842,0.532,0,1,0.0,448,841,0.533,0.532,95,137,0.693,114,450,564,125,63,24,115,168,991,19.7,0.549,0.001,0.163,6.7,25.3,16.1,11.8,1.7,0.9,11.3,23.8,3.3,4.3,7.6,0.187,1.1,1.6,2.7,2.3,0.0
6,63,62,Ronnie Brewer,SG,66,1635,190,445,0.427,19,69,0.275,171,376,0.455,0.448,56,100,0.56,72,159,231,137,72,21,59,64,455,12.3,0.465,0.155,0.225,5.0,10.6,7.9,12.7,2.4,0.9,10.8,15.3,1.0,2.9,3.9,0.113,-1.5,2.2,0.7,1.1,0.0
7,66,65,Derrick Brown,SF,65,1443,212,409,0.518,6,24,0.25,206,385,0.535,0.526,94,141,0.667,95,141,236,67,48,12,55,96,524,14.7,0.556,0.059,0.345,7.3,11.6,9.4,8.5,1.8,0.6,10.5,16.8,2.0,0.3,2.3,0.076,-0.3,-1.2,-1.5,0.2,0.0
8,89,84,Omri Casspi,SF,65,1341,166,412,0.403,53,168,0.315,113,244,0.463,0.467,74,108,0.685,63,165,228,66,37,21,64,115,459,11.2,0.499,0.408,0.262,5.1,14.5,9.7,8.4,1.5,1.2,12.2,17.6,0.6,0.6,1.2,0.044,-1.3,-0.9,-2.2,-0.1,0.0
9,95,90,Norris Cole,PG,65,1260,177,450,0.393,21,76,0.276,156,374,0.417,0.417,66,85,0.776,21,70,91,133,44,2,105,124,441,7.9,0.452,0.169,0.189,2.1,6.4,4.3,17.0,1.8,0.1,17.7,21.8,-1.4,1.4,0.0,0.0,-4.9,-1.4,-6.3,-1.4,0.0
10,110,103,Samuel Dalembert,C,65,1446,200,395,0.506,0,1,0.0,200,394,0.508,0.506,90,113,0.796,158,298,456,33,37,111,82,162,490,16.9,0.551,0.003,0.286,12.6,24.1,18.3,3.6,1.3,5.7,15.6,16.6,1.8,2.3,4.1,0.137,-1.1,1.1,0.1,0.7,0.0
11,114,107,Ed Davis,PF,66,1534,172,335,0.513,0,1,0.0,172,334,0.515,0.513,71,106,0.67,134,304,438,60,40,63,67,156,415,14.2,0.544,0.003,0.316,10.4,23.0,16.7,6.5,1.4,3.4,14.9,13.8,1.6,2.3,3.9,0.121,-1.2,0.8,-0.3,0.7,0.0
12,132,121,Goran Dragić,PG,66,1752,277,600,0.462,68,202,0.337,209,398,0.525,0.518,153,190,0.805,53,115,168,351,85,10,157,166,775,18.0,0.567,0.337,0.317,3.5,7.7,5.6,32.5,2.5,0.4,18.7,21.8,3.6,1.5,5.1,0.139,1.9,0.0,1.9,1.7,0.0
13,133,122,Jared Dudley,SG,65,2020,312,643,0.485,80,209,0.383,232,434,0.535,0.547,119,164,0.726,95,206,301,112,49,19,72,107,823,15.4,0.575,0.325,0.255,5.4,11.4,8.4,8.8,1.3,0.7,9.1,17.7,4.0,1.1,5.1,0.121,1.6,-0.4,1.2,1.7,0.0
14,137,126,Kevin Durant,SF,66,2546,643,1297,0.496,133,344,0.387,510,953,0.535,0.547,431,501,0.86,40,487,527,231,88,77,248,133,1850,26.2,0.61,0.265,0.386,1.9,20.4,11.8,17.5,1.8,2.2,14.0,31.3,8.5,3.7,12.2,0.23,6.2,0.8,7.0,5.8,0.0
15,156,141,Derrick Favors,PF,65,1376,222,445,0.499,0,0,,222,445,0.499,0.499,126,194,0.649,158,267,425,43,38,65,103,145,570,17.1,0.537,0.0,0.436,13.0,22.5,17.7,5.0,1.4,3.8,16.3,20.7,1.4,1.6,3.0,0.105,-0.6,-0.5,-1.1,0.3,0.0
16,160,145,Landry Fields,SG,66,1894,236,513,0.46,31,121,0.256,205,392,0.523,0.49,77,137,0.562,59,219,278,169,79,17,102,99,580,12.0,0.506,0.236,0.267,3.6,13.5,8.5,14.5,2.1,0.7,15.1,16.0,0.8,2.6,3.4,0.085,-1.1,1.1,0.0,1.0,0.0
17,174,153,Randy Foye,SG,65,1682,256,644,0.398,127,329,0.386,129,315,0.41,0.496,73,85,0.859,25,113,138,146,46,24,73,130,712,13.5,0.522,0.511,0.132,1.7,8.1,4.9,14.2,1.5,1.2,9.7,20.7,2.4,0.8,3.2,0.092,1.1,-0.9,0.2,0.9,0.0
18,176,155,Enes Freedom,C,66,874,117,236,0.496,0,1,0.0,117,235,0.498,0.496,70,105,0.667,107,171,278,8,18,23,54,87,304,14.5,0.539,0.004,0.445,13.9,22.7,18.3,1.4,1.1,2.1,16.1,17.3,0.9,0.8,1.7,0.095,-1.2,-1.7,-3.0,-0.2,0.0
19,183,162,Marc Gasol,C,65,2370,357,740,0.482,1,12,0.083,356,728,0.489,0.483,237,317,0.748,120,459,579,204,62,121,121,201,952,18.4,0.541,0.016,0.428,5.8,23.1,14.3,14.1,1.4,4.1,12.1,19.1,4.2,4.0,8.2,0.166,1.0,2.1,3.1,3.1,0.0
20,184,163,Pau Gasol*,PF,65,2430,459,917,0.501,7,27,0.259,452,890,0.508,0.504,204,261,0.782,183,495,678,237,37,88,142,127,1129,20.4,0.547,0.029,0.285,8.8,21.8,15.6,17.2,0.8,2.6,12.1,22.1,5.2,3.1,8.3,0.165,2.6,0.8,3.4,3.3,0.0
21,185,164,Rudy Gay,SF,65,2422,485,1067,0.455,54,173,0.312,431,894,0.482,0.48,208,263,0.791,130,287,417,147,95,55,161,138,1232,17.8,0.521,0.162,0.246,6.1,14.1,10.1,10.8,2.1,1.8,12.0,25.1,2.8,3.3,6.0,0.12,1.7,0.2,1.9,2.4,0.0
22,187,166,Paul George,SG,66,1958,281,639,0.44,90,234,0.385,191,405,0.472,0.51,146,182,0.802,56,314,370,158,108,38,117,191,798,16.5,0.555,0.366,0.285,3.2,17.9,10.6,13.6,2.9,1.5,14.0,19.3,2.8,3.2,6.0,0.148,1.4,2.1,3.4,2.7,0.0
23,198,175,Marcin Gortat,C,66,2114,427,769,0.555,0,2,0.0,427,767,0.557,0.555,163,251,0.649,185,474,659,59,48,99,90,142,1017,21.2,0.578,0.003,0.326,10.0,25.0,17.6,4.8,1.2,3.4,9.3,20.8,4.9,2.7,7.6,0.172,2.2,0.0,2.2,2.3,0.0
