Rk,Player,Season,Pos,Tm,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Balance,all_nba
9,Lou Amundson,2009,PF,PHO,79,1168,152,276,0.551,0,1,0.0,152,275,0.553,0.551,67,123,0.545,128,218,346,31,24,73,57,169,371,14.4,0.562,0.004,0.446,13.1,19.9,16.7,3.7,1.0,4.4,14.7,14.6,1.5,1.3,2.9,0.118,-1.5,0.4,-1.1,0.3,,0.0
10,Chris Andersen,2009,PF,DEN,76,1695,142,251,0.566,0,3,0.0,142,248,0.573,0.566,164,236,0.695,147,336,483,33,42,143,59,171,448,15.8,0.631,0.012,0.94,10.1,22.7,16.4,2.8,1.3,6.3,14.3,10.8,3.2,2.7,5.9,0.166,-0.1,1.9,1.8,1.6,0.6463414634146342,0.0
11,David Andersen,2009,C,HOU,63,891,147,340,0.432,27,78,0.346,120,262,0.458,0.472,46,67,0.687,54,154,208,44,15,12,37,119,367,12.1,0.497,0.229,0.197,6.7,20.6,13.4,8.1,0.9,1.0,9.1,20.2,0.4,0.9,1.3,0.07,-2.0,-0.6,-2.6,-0.1,0.5121951219512195,0.0
12,Antonio Anderson,2009,SF,OKC,1,15,1,3,0.333,0,0,,1,3,0.333,0.333,0,0,,1,0,1,0,0,0,1,1,2,-1.7,0.333,0.0,0.0,7.9,0.0,3.8,0.0,0.0,0.0,25.0,12.0,0.0,0.0,0.0,-0.104,-7.6,-4.8,-12.4,0.0,0.6097560975609756,0.0
13,Ryan Anderson,2009,PF,ORL,63,911,169,388,0.436,78,211,0.37,91,177,0.514,0.536,71,82,0.866,70,132,202,37,25,14,56,81,487,18.1,0.574,0.544,0.211,9.2,16.2,12.8,7.1,1.4,1.1,11.7,24.4,1.7,1.4,3.1,0.161,2.6,-0.3,2.3,1.0,0.7195121951219512,0.0
14,Carmelo Anthony,2009,SF,DEN,69,2634,688,1502,0.458,59,187,0.316,629,1315,0.478,0.478,508,612,0.83,152,302,454,222,88,30,209,225,1943,22.2,0.548,0.125,0.407,6.7,13.1,9.9,15.9,1.7,0.9,10.6,33.4,5.6,2.4,7.9,0.145,3.5,-1.2,2.3,2.9,0.6463414634146342,2.0
15,Joel Anthony,2009,C,MIA,80,1322,76,159,0.478,0,0,,76,159,0.478,0.478,66,92,0.717,123,126,249,12,20,109,45,158,218,10.2,0.546,0.0,0.579,11.0,11.1,11.1,1.3,0.8,6.7,18.4,8.7,1.0,2.0,3.1,0.111,-3.4,1.7,-1.7,0.1,0.573170731707317,0.0
16,Gilbert Arenas,2009,PG,WAS,32,1169,253,616,0.411,63,181,0.348,190,435,0.437,0.462,153,207,0.739,17,116,133,230,41,9,117,95,722,18.7,0.511,0.294,0.336,1.6,11.6,6.5,36.3,1.8,0.6,14.2,31.9,0.9,0.9,1.8,0.072,2.9,-1.2,1.7,1.1,0.3170731707317073,0.0
17,Trevor Ariza,2009,SF,HOU,72,2629,394,999,0.394,136,407,0.334,258,592,0.436,0.462,148,228,0.649,78,325,403,276,126,40,161,162,1072,13.3,0.488,0.407,0.228,3.3,14.7,8.8,16.7,2.4,1.1,12.8,21.2,0.1,3.1,3.2,0.058,-0.4,0.9,0.5,1.7,0.5121951219512195,0.0
18,Hilton Armstrong,2009,PF-C,TOT,33,335,28,79,0.354,0,1,0.0,28,78,0.359,0.354,15,32,0.469,27,54,81,21,15,12,22,59,71,6.9,0.381,0.013,0.405,9.2,19.2,14.1,8.8,2.3,2.7,19.1,15.5,-0.5,0.4,-0.1,-0.017,-6.7,0.5,-6.1,-0.4,,0.0
18,Hilton Armstrong,2009,PF,NOH,18,239,19,50,0.38,0,0,,19,50,0.38,0.38,13,28,0.464,17,44,61,16,8,8,13,44,51,7.5,0.409,0.0,0.56,8.2,22.0,15.0,9.3,1.7,2.5,17.3,14.4,-0.2,0.3,0.1,0.01,-6.4,0.6,-5.8,-0.2,0.4512195121951219,0.0
18,Hilton Armstrong,2009,C,SAC,6,56,4,12,0.333,0,0,,4,12,0.333,0.333,2,2,1.0,5,9,14,2,2,4,4,5,10,8.4,0.388,0.0,0.167,10.1,18.6,14.3,5.0,1.8,5.2,23.7,13.3,-0.1,0.1,0.0,-0.012,-4.0,1.0,-3.0,0.0,0.3048780487804878,0.0
18,Hilton Armstrong,2009,C,HOU,9,40,5,17,0.294,0,1,0.0,5,16,0.313,0.294,0,2,0.0,5,1,6,3,5,0,5,10,10,1.1,0.28,0.059,0.118,13.8,3.0,8.6,11.5,6.4,0.0,21.9,25.3,-0.2,0.1,-0.2,-0.185,-12.0,-0.6,-12.6,-0.1,0.5121951219512195,0.0
19,Carlos Arroyo,2009,PG,MIA,72,1585,178,375,0.475,7,25,0.28,171,350,0.489,0.484,76,90,0.844,26,104,130,225,36,6,54,102,439,12.3,0.529,0.067,0.24,1.9,7.7,4.8,22.2,1.2,0.3,11.5,13.9,2.2,1.5,3.7,0.113,-1.5,0.1,-1.5,0.2,0.573170731707317,0.0
20,Darrell Arthur,2009,PF,MEM,32,457,63,146,0.432,0,1,0.0,63,145,0.434,0.432,17,30,0.567,37,73,110,15,14,14,22,60,143,10.5,0.449,0.007,0.205,9.4,18.7,14.0,4.9,1.6,2.3,12.1,17.4,-0.1,0.4,0.3,0.031,-3.7,-0.4,-4.1,-0.2,0.4878048780487805,0.0
21,Chucky Atkins,2009,PG,DET,40,644,57,157,0.363,22,73,0.301,35,84,0.417,0.433,25,27,0.926,5,24,29,91,17,0,32,53,161,8.3,0.477,0.465,0.172,0.9,4.8,2.7,21.6,1.4,0.0,15.9,14.4,0.2,0.1,0.2,0.017,-2.9,-1.4,-4.3,-0.4,0.3292682926829268,0.0
22,D.J. Augustin,2009,PG,CHA,80,1472,168,435,0.386,70,178,0.393,98,257,0.381,0.467,102,131,0.779,11,86,97,193,45,5,74,127,508,11.2,0.516,0.409,0.301,0.9,6.9,4.0,21.7,1.6,0.3,13.1,17.9,1.1,1.7,2.8,0.092,-1.5,0.3,-1.1,0.3,0.5365853658536586,0.0
23,Jeff Ayres,2009,C,POR,39,405,43,65,0.662,0,0,,43,65,0.662,0.662,18,20,0.9,25,73,98,1,7,16,12,76,104,12.1,0.705,0.0,0.308,7.6,22.5,15.0,0.4,0.9,3.2,14.0,10.1,0.8,0.6,1.3,0.156,-3.4,0.4,-3.0,-0.1,0.6097560975609756,0.0
24,Kelenna Azubuike,2009,SF,GSW,9,231,48,88,0.545,10,27,0.37,38,61,0.623,0.602,19,28,0.679,12,29,41,10,5,9,7,16,125,19.8,0.623,0.307,0.318,5.7,14.2,9.9,6.8,1.0,2.8,6.5,19.9,0.6,0.1,0.7,0.148,3.3,-1.1,2.1,0.2,0.3170731707317073,0.0
25,Renaldo Balkman,2009,SF,DEN,13,91,6,18,0.333,0,7,0.0,6,11,0.545,0.333,2,6,0.333,4,19,23,7,8,2,6,16,14,6.6,0.339,0.389,0.333,5.1,23.9,14.6,10.6,4.5,1.7,22.5,13.0,-0.2,0.2,0.0,-0.001,-5.8,3.3,-2.4,0.0,0.6463414634146342,0.0
26,Marcus Banks,2009,PG,TOR,22,244,39,73,0.534,7,24,0.292,32,49,0.653,0.582,24,29,0.828,3,20,23,26,12,2,20,30,109,15.3,0.635,0.329,0.397,1.5,9.4,5.6,16.4,2.5,0.6,18.9,19.8,0.4,0.1,0.5,0.095,-0.4,0.1,-0.3,0.1,0.4878048780487805,0.0
27,Leandro Barbosa,2009,PG,PHO,44,786,155,365,0.425,44,136,0.324,111,229,0.485,0.485,64,73,0.877,11,58,69,64,23,12,46,71,418,14.0,0.526,0.373,0.2,1.7,7.9,5.0,12.5,1.5,1.1,10.4,24.9,0.7,0.4,1.1,0.065,-0.8,-1.3,-2.1,0.0,,0.0
28,J.J. Barea,2009,PG,DAL,78,1546,232,527,0.44,56,157,0.357,176,370,0.476,0.493,76,90,0.844,17,129,146,258,35,6,102,119,596,12.8,0.526,0.298,0.171,1.3,9.5,5.4,26.1,1.2,0.3,15.3,19.9,1.0,1.2,2.2,0.069,-0.6,-0.7,-1.3,0.3,0.6707317073170732,0.0
29,Andrea Bargnani,2009,PF,TOR,80,2799,537,1143,0.47,121,325,0.372,416,818,0.509,0.523,181,234,0.774,105,388,493,93,25,111,120,215,1376,15.5,0.552,0.284,0.205,4.6,15.9,10.4,5.4,0.5,3.0,8.8,22.3,3.3,0.9,4.2,0.072,0.9,-1.7,-0.8,0.9,0.4878048780487805,0.0
30,Matt Barnes,2009,SF,ORL,81,2097,271,557,0.487,66,207,0.319,205,350,0.586,0.546,108,146,0.74,106,339,445,134,59,30,112,185,716,13.6,0.576,0.372,0.262,6.1,18.0,12.3,10.1,1.5,1.1,15.3,16.2,2.5,3.4,5.9,0.135,-0.1,1.3,1.3,1.7,0.7195121951219512,0.0
31,Earl Barron,2009,C,NYK,7,232,30,68,0.441,0,0,,30,68,0.441,0.441,22,29,0.759,31,46,77,8,4,4,11,24,82,14.7,0.508,0.0,0.426,14.9,22.9,18.9,5.2,0.9,1.3,12.0,17.9,0.3,0.2,0.4,0.091,-1.5,-2.9,-4.5,-0.1,0.3536585365853658,0.0
32,Brandon Bass,2009,PF,ORL,50,648,119,233,0.511,0,0,,119,233,0.511,0.511,52,63,0.825,54,73,127,19,12,27,31,69,290,16.5,0.556,0.0,0.27,10.0,12.6,11.3,5.1,1.0,3.1,10.6,20.9,1.0,1.0,2.0,0.147,-0.7,0.1,-0.6,0.2,0.7195121951219512,0.0
33,Tony Battie,2009,C,NJN,15,134,14,40,0.35,1,4,0.25,13,36,0.361,0.363,7,10,0.7,4,19,23,3,4,2,3,19,36,6.1,0.405,0.1,0.25,3.3,17.1,9.9,3.7,1.6,1.1,6.3,16.2,-0.1,0.1,0.0,-0.014,-6.2,-1.8,-8.0,-0.2,0.1463414634146341,0.0
34,Shane Battier,2009,SG,HOU,67,2168,178,447,0.398,101,279,0.362,77,168,0.458,0.511,77,106,0.726,74,238,312,164,53,76,64,139,534,11.1,0.541,0.624,0.237,3.8,13.1,8.2,10.9,1.2,2.6,11.5,11.4,2.2,2.1,4.3,0.095,0.1,1.4,1.5,1.9,0.5121951219512195,0.0
35,Nicolas Batum,2009,SF,POR,37,918,139,268,0.519,54,132,0.409,85,136,0.625,0.619,43,51,0.843,32,109,141,44,24,25,27,83,375,17.3,0.646,0.493,0.19,4.3,14.8,9.5,8.0,1.4,2.2,8.5,16.4,2.4,1.1,3.5,0.181,2.8,1.1,3.9,1.4,0.6097560975609756,0.0
36,Jerryd Bayless,2009,SG,POR,74,1304,200,483,0.414,29,92,0.315,171,391,0.437,0.444,201,242,0.831,18,102,120,172,26,5,94,152,630,14.3,0.534,0.19,0.501,1.7,9.8,5.7,22.1,1.1,0.3,13.8,24.9,1.7,1.0,2.7,0.098,-0.7,-1.0,-1.7,0.1,0.6097560975609756,0.0
37,Michael Beasley,2009,PF,MIA,78,2328,468,1040,0.45,28,102,0.275,440,938,0.469,0.463,192,240,0.8,123,375,498,100,80,49,131,221,1156,16.1,0.505,0.098,0.231,6.3,18.8,12.6,7.8,1.8,1.7,10.3,25.8,0.8,3.8,4.6,0.095,-0.9,0.1,-0.8,0.7,0.573170731707317,0.0
38,Rodrigue Beaubois,2009,PG,DAL,56,700,155,299,0.518,45,110,0.409,110,189,0.582,0.594,42,52,0.808,12,66,78,74,29,12,54,84,397,18.5,0.617,0.368,0.174,2.0,10.7,6.4,18.6,2.1,1.3,14.4,24.7,1.1,0.8,2.0,0.134,1.3,0.2,1.5,0.6,0.6707317073170732,0.0
39,Marco Belinelli,2009,SG,TOR,66,1121,154,379,0.406,60,158,0.38,94,221,0.425,0.485,101,121,0.835,14,81,95,89,42,5,60,80,469,12.6,0.543,0.417,0.319,1.5,8.3,5.0,11.8,1.9,0.3,12.2,20.1,0.9,0.2,1.2,0.049,-0.3,-1.0,-1.3,0.2,0.4878048780487805,0.0
40,Charlie Bell,2009,SG,MIL,71,1611,169,443,0.381,73,200,0.365,96,243,0.395,0.464,48,67,0.716,31,101,132,104,39,12,54,136,459,7.9,0.486,0.451,0.151,2.1,7.5,4.7,9.8,1.3,0.6,10.3,14.8,0.1,1.9,2.0,0.06,-2.9,0.5,-2.4,-0.2,0.5609756097560976,0.0
41,Raja Bell,2009,SG,TOT,6,180,28,61,0.459,12,27,0.444,16,34,0.471,0.557,3,3,1.0,5,18,23,13,4,2,5,15,71,13.8,0.57,0.443,0.049,3.4,11.8,7.6,12.3,1.2,0.9,7.4,17.3,0.3,0.2,0.5,0.131,1.5,1.8,3.3,0.2,,0.0
41,Raja Bell,2009,SG,CHA,5,157,24,55,0.436,9,24,0.375,15,31,0.484,0.518,3,3,1.0,5,16,21,10,4,2,5,13,60,12.8,0.533,0.436,0.055,3.9,12.1,8.1,11.3,1.4,1.0,8.2,18.2,0.2,0.2,0.4,0.113,0.5,2.0,2.5,0.2,0.5365853658536586,0.0
41,Raja Bell,2009,SG,GSW,1,23,4,6,0.667,3,3,1.0,1,3,0.333,0.917,0,0,,0,2,2,3,0,0,0,2,11,20.6,0.917,0.5,0.0,0.0,9.8,4.8,19.5,0.0,0.0,0.0,11.2,0.1,0.0,0.1,0.256,8.0,0.7,8.7,0.1,0.3170731707317073,0.0
42,Jonathan Bender,2009,SF,NYK,25,292,40,100,0.4,14,39,0.359,26,61,0.426,0.47,24,26,0.923,15,37,52,16,2,17,28,33,118,10.8,0.529,0.39,0.26,5.7,14.7,10.1,8.4,0.3,4.3,20.1,21.6,-0.2,0.2,0.0,-0.001,-3.3,-0.8,-4.1,-0.2,0.3536585365853658,0.0
43,Mike Bibby,2009,PG,ATL,80,2195,268,644,0.416,126,324,0.389,142,320,0.444,0.514,68,79,0.861,20,164,184,310,67,3,90,157,730,12.7,0.538,0.503,0.123,1.1,8.8,4.9,20.8,1.6,0.1,11.7,16.1,3.0,1.7,4.8,0.104,0.1,-0.2,-0.2,1.0,0.6463414634146342,0.0
44,Andris Biedriņš,2009,C,GSW,33,763,81,137,0.591,0,0,,81,137,0.591,0.591,4,25,0.16,63,196,259,57,20,44,32,117,166,13.0,0.561,0.0,0.182,9.1,29.0,18.9,10.1,1.3,4.1,17.8,10.1,0.7,0.9,1.6,0.101,-1.9,1.7,-0.2,0.4,0.3170731707317073,0.0
45,Chauncey Billups,2009,PG,DEN,73,2490,402,962,0.418,157,407,0.386,245,555,0.441,0.499,466,512,0.91,25,203,228,409,82,9,177,153,1427,20.2,0.601,0.423,0.532,1.2,9.3,5.3,26.1,1.7,0.3,13.0,24.3,7.7,1.7,9.5,0.182,4.5,-0.8,3.7,3.6,0.6463414634146342,0.0
46,DeJuan Blair,2009,PF,SAS,82,1494,275,495,0.556,0,2,0.0,275,493,0.558,0.556,88,161,0.547,200,326,526,65,50,39,112,224,638,17.7,0.564,0.004,0.325,16.0,25.1,20.6,7.1,1.8,1.9,16.5,20.8,1.8,2.8,4.6,0.147,-1.0,0.4,-0.7,0.5,0.6097560975609756,0.0
47,Steve Blake,2009,PG,TOT,80,2159,217,522,0.416,116,294,0.395,101,228,0.443,0.527,36,48,0.75,21,166,187,380,58,6,128,123,586,11.6,0.539,0.563,0.092,1.2,9.4,5.2,26.9,1.4,0.2,19.1,14.5,1.9,1.4,3.3,0.074,-0.1,-0.4,-0.5,0.8,,0.0
47,Steve Blake,2009,PG,POR,51,1397,143,355,0.403,78,207,0.377,65,148,0.439,0.513,24,32,0.75,15,103,118,203,37,2,65,84,388,11.2,0.526,0.583,0.09,1.3,9.2,5.2,22.5,1.4,0.1,15.0,14.8,1.3,1.1,2.4,0.082,0.1,0.1,0.2,0.8,0.6097560975609756,0.0
47,Steve Blake,2009,PG,LAC,29,762,74,167,0.443,38,87,0.437,36,80,0.45,0.557,12,16,0.75,6,63,69,177,21,4,63,39,198,12.3,0.569,0.521,0.096,0.9,9.6,5.2,34.9,1.4,0.4,26.6,14.1,0.6,0.3,0.9,0.058,-0.5,-1.3,-1.8,0.0,0.3536585365853658,0.0
48,Andray Blatche,2009,PF,WAS,81,2256,478,999,0.478,13,44,0.295,465,955,0.487,0.485,174,234,0.744,158,351,509,170,85,71,182,218,1143,17.6,0.519,0.044,0.234,7.9,18.2,13.0,13.8,2.0,2.4,14.2,25.8,0.8,2.6,3.4,0.073,0.2,0.4,0.6,1.5,0.3170731707317073,0.0
49,Keith Bogans,2009,SF,SAS,79,1559,120,298,0.403,70,196,0.357,50,102,0.49,0.52,37,50,0.74,25,151,176,95,45,12,53,156,347,7.7,0.542,0.658,0.168,1.9,11.2,6.6,8.5,1.5,0.6,14.2,11.0,0.7,1.9,2.6,0.081,-2.7,1.5,-1.2,0.3,0.6097560975609756,0.0
50,Andrew Bogut,2009,C,MIL,69,2229,473,910,0.52,0,2,0.0,473,908,0.521,0.52,149,237,0.629,208,493,701,127,39,175,131,222,1095,20.7,0.54,0.002,0.26,10.1,26.4,17.9,10.3,0.9,6.2,11.4,23.3,2.6,4.8,7.5,0.161,0.8,2.2,3.1,2.8,0.5609756097560976,3.0
51,Matt Bonner,2009,PF,SAS,65,1161,166,372,0.446,90,231,0.39,76,141,0.539,0.567,35,48,0.729,52,162,214,68,30,24,39,109,457,14.9,0.581,0.621,0.129,5.3,16.1,10.8,9.0,1.4,1.5,9.0,17.0,2.1,1.6,3.7,0.153,1.8,0.9,2.6,1.3,0.6097560975609756,0.0
52,Josh Boone,2009,PF,NJN,63,1045,117,223,0.525,0,0,,117,223,0.525,0.525,19,58,0.328,124,191,315,29,30,48,37,111,253,13.7,0.509,0.0,0.26,13.1,22.0,17.4,4.6,1.5,3.4,13.0,12.5,0.7,1.1,1.8,0.084,-1.8,-0.2,-2.0,0.0,0.1463414634146341,0.0
53,Carlos Boozer,2009,PF,UTA,78,2673,617,1098,0.562,0,0,,617,1098,0.562,0.562,285,384,0.742,181,693,874,247,84,36,212,270,1519,21.3,0.599,0.0,0.35,8.2,29.9,19.4,15.8,1.6,1.1,14.3,24.8,5.3,4.6,9.9,0.178,2.4,1.1,3.4,3.7,0.6463414634146342,0.0
54,Chris Bosh,2009,C,TOR,70,2526,600,1158,0.518,8,22,0.364,592,1136,0.521,0.522,470,590,0.797,205,554,759,166,43,68,169,170,1678,25.0,0.592,0.019,0.509,9.9,25.2,17.7,11.5,0.9,2.1,10.7,28.7,7.9,1.7,9.6,0.182,4.8,-1.2,3.6,3.6,0.4878048780487805,0.0
55,Ryan Bowen,2009,SF,OKC,1,8,1,1,1.0,0,0,,1,1,1.0,1.0,2,2,1.0,1,1,2,0,1,0,0,2,4,31.3,1.064,0.0,2.0,14.7,14.0,14.3,0.0,6.4,0.0,0.0,10.5,0.1,0.0,0.1,0.509,4.1,7.7,11.8,0.0,0.6097560975609756,0.0
56,Earl Boykins,2009,PG,WAS,67,1117,172,403,0.427,19,60,0.317,153,343,0.446,0.45,77,89,0.865,17,58,75,171,24,3,69,48,440,12.9,0.498,0.149,0.221,1.7,6.1,3.9,25.3,1.1,0.2,13.5,20.7,0.6,0.3,1.0,0.042,-0.5,-2.0,-2.4,-0.1,0.3170731707317073,0.0
57,Elton Brand,2009,PF,PHI,76,2297,412,858,0.48,0,1,0.0,412,857,0.481,0.48,172,233,0.738,179,282,461,109,82,80,131,232,996,15.7,0.518,0.001,0.272,9.0,14.7,11.8,7.9,1.9,2.7,12.0,21.7,1.6,1.9,3.5,0.073,-1.1,-0.7,-1.8,0.1,0.3292682926829268,0.0
58,Corey Brewer,2009,SG,MIN,82,2482,409,949,0.431,82,237,0.346,327,712,0.459,0.474,166,256,0.648,70,209,279,193,117,29,164,224,1066,12.1,0.502,0.25,0.27,3.1,9.6,6.3,12.5,2.4,0.9,13.4,21.5,-0.4,1.4,1.0,0.02,-2.1,-0.1,-2.2,-0.1,0.1829268292682926,0.0
59,Ronnie Brewer,2009,SG,TOT,58,1742,209,429,0.487,8,31,0.258,201,398,0.505,0.497,85,133,0.639,45,142,187,154,91,15,53,80,511,12.5,0.524,0.072,0.31,3.1,9.4,6.4,12.7,2.7,0.7,9.8,13.9,1.6,2.2,3.7,0.103,-0.8,2.0,1.1,1.4,,0.0
59,Ronnie Brewer,2009,SG,UTA,53,1662,206,416,0.495,8,31,0.258,198,385,0.514,0.505,81,128,0.633,44,136,180,151,85,15,51,80,501,12.8,0.53,0.075,0.308,3.2,9.4,6.4,13.1,2.6,0.7,9.7,14.1,1.7,2.1,3.8,0.108,-0.6,1.9,1.3,1.4,0.6463414634146342,0.0
59,Ronnie Brewer,2009,SG,MEM,5,80,3,13,0.231,0,0,,3,13,0.231,0.231,4,5,0.8,1,6,7,3,6,0,2,0,10,5.9,0.329,0.0,0.385,1.5,8.8,5.1,4.9,3.8,0.0,11.6,9.4,-0.1,0.1,0.0,-0.01,-5.1,2.5,-2.6,0.0,0.4878048780487805,0.0
60,Primož Brezec,2009,C,TOT,21,95,9,26,0.346,0,0,,9,26,0.346,0.346,1,6,0.167,12,13,25,1,1,3,2,19,19,4.9,0.332,0.0,0.231,14.2,16.3,15.2,1.6,0.6,2.5,6.5,14.6,-0.1,0.1,0.0,-0.007,-7.4,-2.6,-10.0,-0.2,,0.0
60,Primož Brezec,2009,C,PHI,7,36,2,13,0.154,0,0,,2,13,0.154,0.154,1,2,0.5,6,6,12,0,1,1,0,9,5,0.4,0.18,0.0,0.154,19.4,20.0,19.6,0.0,1.5,2.2,0.0,17.6,-0.1,0.0,-0.1,-0.113,-10.7,-5.9,-16.6,-0.1,0.3292682926829268,0.0
60,Primož Brezec,2009,C,MIL,14,59,7,13,0.538,0,0,,7,13,0.538,0.538,0,4,0.0,6,7,13,1,0,2,2,10,14,7.6,0.474,0.0,0.308,11.0,14.2,12.5,2.6,0.0,2.7,11.9,12.9,0.0,0.1,0.1,0.057,-5.4,-0.6,-6.0,-0.1,0.5609756097560976,0.0
61,Jon Brockman,2009,PF,SAC,52,654,55,103,0.534,0,0,,55,103,0.534,0.534,37,62,0.597,105,108,213,22,15,5,23,115,147,12.4,0.564,0.0,0.602,18.2,19.2,18.7,4.8,1.2,0.6,15.0,10.4,1.2,0.5,1.7,0.125,-1.8,-1.2,-3.0,-0.2,0.3048780487804878,0.0
62,Aaron Brooks,2009,PG,HOU,82,2919,575,1331,0.432,209,525,0.398,366,806,0.454,0.511,245,298,0.822,54,161,215,434,69,14,232,199,1604,16.0,0.549,0.394,0.224,2.0,6.6,4.2,25.6,1.2,0.3,13.7,25.7,3.9,1.6,5.5,0.091,2.3,-1.6,0.7,1.9,0.5121951219512195,0.0
63,Bobby Brown,2009,PG,TOT,45,519,88,237,0.371,26,98,0.265,62,139,0.446,0.426,13,15,0.867,9,29,38,88,15,1,46,42,215,9.3,0.441,0.414,0.063,2.0,6.6,4.3,27.5,1.5,0.1,15.9,25.4,-0.7,0.2,-0.5,-0.05,-2.7,-2.6,-5.3,-0.4,,0.0
63,Bobby Brown,2009,PG,NOH,22,328,60,152,0.395,17,66,0.258,43,86,0.5,0.451,8,8,1.0,1,17,18,46,9,1,24,28,145,10.0,0.466,0.434,0.053,0.4,6.2,3.2,22.7,1.4,0.2,13.4,25.0,-0.3,0.1,-0.2,-0.026,-2.6,-2.2,-4.8,-0.2,0.4512195121951219,0.0
63,Bobby Brown,2009,PG,LAC,23,191,28,85,0.329,9,32,0.281,19,53,0.358,0.382,5,7,0.714,8,12,20,42,6,0,22,14,70,8.2,0.397,0.376,0.082,4.8,7.3,6.1,35.7,1.6,0.0,20.0,26.1,-0.4,0.1,-0.4,-0.092,-2.8,-3.4,-6.2,-0.2,0.3536585365853658,0.0
