Rk,Player,Season,Pos,Tm,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Balance,all_nba
1,Shareef Abdur-Rahim,2005,PF,SAC,72,1961,332,632,0.525,5,22,0.227,327,610,0.536,0.529,218,278,0.784,106,251,357,149,48,42,108,227,887,17.2,0.588,0.035,0.44,6.4,14.8,10.6,13.2,1.3,1.6,12.5,20.1,4.0,2.2,6.2,0.152,0.5,0.4,0.9,1.4,0.5365853658536586,0.0
2,Alex Acker,2005,SG,DET,5,35,4,16,0.25,1,5,0.2,3,11,0.273,0.281,0,0,,1,4,5,4,1,0,4,4,9,-2.4,0.281,0.313,0.0,3.4,13.7,8.5,17.9,1.6,0.0,20.0,27.2,-0.2,0.0,-0.2,-0.23,-11.0,-4.2,-15.3,-0.1,0.7804878048780488,0.0
3,Malik Allen,2005,PF,CHI,54,701,121,247,0.49,1,1,1.0,120,246,0.488,0.492,23,38,0.605,44,96,140,20,14,16,34,92,266,11.5,0.504,0.004,0.154,7.2,15.7,11.5,4.9,1.0,1.8,11.4,19.2,0.0,1.0,1.0,0.068,-3.0,0.3,-2.7,-0.1,0.5,0.0
4,Ray Allen,2005,SG,SEA,78,3022,681,1500,0.454,269,653,0.412,412,847,0.486,0.544,324,359,0.903,71,261,332,286,105,16,188,151,1955,22.2,0.59,0.435,0.239,2.8,10.6,6.6,17.2,1.8,0.4,10.2,27.4,9.8,-0.3,9.5,0.15,6.4,-2.0,4.4,4.9,0.4268292682926829,0.0
5,Tony Allen,2005,PG,BOS,51,978,129,274,0.471,11,34,0.324,118,240,0.492,0.491,100,134,0.746,32,79,111,67,51,18,67,126,369,12.9,0.554,0.124,0.489,4.1,9.6,6.9,11.2,2.7,1.4,16.8,18.8,0.6,1.0,1.7,0.082,-2.3,0.9,-1.4,0.1,0.4024390243902439,0.0
6,Rafer Alston,2005,PG,HOU,63,2431,280,738,0.379,102,312,0.327,178,426,0.418,0.449,99,143,0.692,36,219,255,425,101,15,157,194,761,12.6,0.475,0.423,0.194,1.8,10.4,6.1,30.8,2.3,0.5,16.4,18.8,0.2,3.1,3.4,0.067,-1.0,0.6,-0.4,1.0,0.4146341463414634,0.0
7,Chris Andersen,2005,C,NOK,32,570,56,98,0.571,0,0,,56,98,0.571,0.571,49,103,0.476,61,94,155,6,8,41,26,84,161,14.1,0.562,0.0,1.051,12.4,20.2,16.2,1.7,0.8,5.9,15.4,13.9,0.6,0.7,1.3,0.112,-2.0,0.9,-1.2,0.1,0.4634146341463415,0.0
8,Alan Anderson,2005,SF,CHA,36,564,75,181,0.414,24,58,0.414,51,123,0.415,0.481,33,41,0.805,23,47,70,32,11,4,32,48,207,10.4,0.52,0.32,0.227,4.4,10.3,7.2,9.3,1.0,0.6,13.9,18.2,0.2,0.3,0.4,0.037,-1.7,-1.7,-3.3,-0.2,0.3170731707317073,0.0
9,Derek Anderson,2005,SG,TOT,43,1047,108,303,0.356,40,134,0.299,68,169,0.402,0.422,93,111,0.838,21,122,143,101,23,6,54,98,349,10.8,0.496,0.442,0.366,2.4,13.3,8.0,15.7,1.2,0.5,13.3,18.2,0.5,1.1,1.6,0.074,-1.3,0.1,-1.2,0.2,,0.0
9,Derek Anderson,2005,SG,HOU,20,582,68,173,0.393,19,67,0.284,49,106,0.462,0.448,61,73,0.836,12,71,83,53,15,4,37,49,216,12.5,0.527,0.387,0.422,2.5,14.1,8.4,16.1,1.4,0.6,15.3,19.8,0.3,0.7,1.0,0.084,-0.4,0.7,0.3,0.3,0.4146341463414634,0.0
