Rk,Player,Season,Pos,Tm,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Balance,all_rookie
1,Precious Achiuwa,2020,PF,MIA,61,737,124,228,0.544,0,1,0.0,124,227,0.546,0.544,56,110,0.509,73,135,208,29,20,28,43,91,304,14.2,0.55,0.004,0.482,11.5,20.6,16.1,6.1,1.3,4.0,13.5,19.5,0.3,1.0,1.3,0.085,-3.6,-0.5,-4.1,-0.4,0.5555555555555556,0.0
16,Cole Anthony,2020,PG,ORL,47,1273,219,552,0.397,58,172,0.337,161,380,0.424,0.449,109,131,0.832,38,183,221,192,30,18,106,98,605,12.1,0.496,0.312,0.237,3.0,15.4,9.0,24.2,1.1,1.3,14.8,24.3,-0.9,0.9,0.0,-0.001,-1.9,-1.4,-3.3,-0.4,0.2916666666666667,0.0
21,Deni Avdija,2020,SF,WAS,54,1257,130,312,0.417,53,168,0.315,77,144,0.535,0.502,29,45,0.644,22,240,262,63,32,15,33,140,342,7.6,0.515,0.538,0.144,1.9,20.2,11.0,6.3,1.2,1.0,9.0,12.0,0.0,1.2,1.2,0.046,-3.6,0.4,-3.1,-0.4,0.4722222222222222,0.0
23,Udoka Azubuike,2020,C,UTA,15,57,4,9,0.444,0,0,,4,9,0.444,0.444,8,10,0.8,4,9,13,0,1,4,3,9,16,10.3,0.597,0.0,1.111,7.8,16.0,12.1,0.0,0.9,5.7,18.3,12.4,0.0,0.1,0.1,0.119,-5.5,1.7,-3.8,0.0,0.7222222222222222,0.0
26,LaMelo Ball,2020,PG,CHO,51,1469,293,672,0.436,92,261,0.352,201,411,0.489,0.504,125,165,0.758,63,239,302,313,81,18,145,136,803,17.5,0.539,0.388,0.246,4.6,17.9,11.1,33.9,2.7,1.2,16.3,26.1,1.0,1.9,2.8,0.093,1.1,0.7,1.8,1.4,0.4583333333333333,1.0
29,Desmond Bane,2020,SG,MEM,68,1519,234,499,0.469,117,271,0.432,117,228,0.513,0.586,40,49,0.816,31,179,210,118,41,16,59,125,625,12.2,0.6,0.543,0.098,2.1,12.6,7.3,10.6,1.3,0.9,10.2,16.1,1.6,1.3,2.9,0.093,-0.6,-0.2,-0.8,0.5,0.5277777777777778,2.0
44,Saddiq Bey,2020,SF,DET,70,1909,279,691,0.404,175,460,0.38,104,231,0.45,0.53,124,147,0.844,43,275,318,95,52,14,60,110,857,12.6,0.567,0.666,0.213,2.5,16.2,9.3,7.6,1.3,0.6,7.4,18.7,1.6,1.7,3.3,0.082,0.3,-0.8,-0.5,0.7,0.2777777777777778,1.0
45,Tyler Bey,2020,SF,DAL,18,71,7,22,0.318,1,4,0.25,6,18,0.333,0.341,3,5,0.6,8,11,19,3,0,1,3,6,18,5.9,0.372,0.182,0.227,12.5,16.9,14.7,5.6,0.0,1.3,11.0,16.9,-0.1,0.0,0.0,-0.033,-5.5,-3.9,-9.5,-0.1,0.5833333333333334,0.0
92,Vernon Carey Jr.,2020,C,CHO,19,115,18,36,0.5,1,7,0.143,17,29,0.586,0.514,9,11,0.818,6,21,27,2,1,5,5,13,46,11.7,0.563,0.194,0.306,5.6,20.1,12.7,2.6,0.4,4.3,10.9,17.2,0.0,0.1,0.2,0.066,-4.4,-1.7,-6.1,-0.1,0.4583333333333333,0.0
141,Anthony Edwards,2020,SG,MIN,72,2314,505,1211,0.417,171,520,0.329,334,691,0.483,0.488,211,272,0.776,59,277,336,211,82,36,160,129,1392,13.9,0.523,0.429,0.225,2.7,13.5,7.9,14.6,1.7,1.3,10.7,27.0,-0.6,1.4,0.8,0.017,-0.4,-1.7,-2.1,-0.1,0.3194444444444444,1.0
143,CJ Elleby,2020,SF,POR,30,192,25,66,0.379,7,34,0.206,18,32,0.563,0.432,11,15,0.733,11,21,32,10,6,3,5,27,68,9.4,0.468,0.515,0.227,6.0,12.0,8.9,7.1,1.5,1.4,6.4,17.4,0.0,0.1,0.1,0.032,-4.0,-0.9,-4.9,-0.1,0.5833333333333334,0.0
158,Malachi Flynn,2020,PG,TOR,47,928,127,340,0.374,54,168,0.321,73,172,0.424,0.453,45,56,0.804,10,106,116,137,38,7,43,68,353,10.9,0.484,0.494,0.165,1.1,13.0,6.9,21.4,2.0,0.8,10.5,19.0,0.0,0.8,0.8,0.041,-2.5,-0.2,-2.6,-0.1,0.375,0.0
191,Josh Green,2020,SG,DAL,39,445,42,93,0.452,4,25,0.16,38,68,0.559,0.473,13,23,0.565,28,50,78,28,16,3,17,35,101,8.8,0.49,0.269,0.247,7.0,12.3,9.7,8.3,1.8,0.6,14.2,11.9,0.1,0.4,0.5,0.05,-3.7,0.1,-3.6,-0.2,0.5833333333333334,0.0
196,Tyrese Haliburton,2020,PG,SAC,58,1746,292,619,0.472,121,296,0.409,171,323,0.529,0.569,48,56,0.857,39,134,173,309,77,28,92,83,753,16.2,0.585,0.478,0.09,2.4,8.6,5.5,24.6,2.1,1.4,12.5,18.1,2.8,0.7,3.5,0.096,1.9,-0.5,1.4,1.5,0.4305555555555556,1.0
