,Unnamed: 0,Rk,Player,Pos,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,all_rookie
0,10,9,Carmelo Anthony,SF,82,2995,624,1465,0.426,69,214,0.322,555,1251,0.444,0.449,408,525,0.777,183,315,498,227,97,41,247,225,1725,17.6,0.509,0.146,0.358,6.8,12.1,9.4,13.8,1.7,1.0,12.7,28.5,3.7,2.4,6.1,0.098,1.6,-1.6,0.1,1.6,0.0
1,26,18,Marcus Banks,PG,81,1385,177,442,0.4,27,86,0.314,150,356,0.421,0.431,99,131,0.756,30,103,133,175,88,13,125,171,480,11.0,0.48,0.195,0.296,2.5,8.4,5.5,21.3,3.3,0.7,20.0,20.5,-0.6,1.4,0.7,0.026,-3.4,0.4,-3.0,-0.4,0.0
2,27,19,Leandro Barbosa,PG,70,1500,210,470,0.447,83,210,0.395,127,260,0.488,0.535,47,61,0.77,23,100,123,165,93,7,120,184,550,12.7,0.553,0.447,0.13,1.7,7.6,4.7,18.0,3.2,0.3,19.5,18.6,0.9,1.0,1.9,0.061,-1.3,0.5,-0.8,0.5,0.0
3,41,28,Jerome Beasley,PF,2,5,1,3,0.333,0,0,,1,3,0.333,0.333,0,0,,0,1,1,0,0,0,0,0,2,5.9,0.333,0.0,0.0,0.0,23.6,11.7,0.0,0.0,0.0,0.0,28.2,0.0,0.0,0.0,-0.117,-1.8,-3.4,-5.2,0.0,0.0
4,43,30,Troy Bell,PG,6,34,4,18,0.222,0,4,0.0,4,14,0.286,0.222,3,3,1.0,3,1,4,4,1,0,6,6,11,-4.5,0.285,0.222,0.167,9.9,3.4,6.6,18.7,1.5,0.0,23.7,33.5,-0.2,0.0,-0.2,-0.326,-13.0,-6.5,-19.6,-0.2,0.0
5,48,35,Steve Blake,PG,75,1392,157,407,0.386,75,202,0.371,82,205,0.4,0.478,55,67,0.821,18,99,117,209,57,7,128,100,444,10.9,0.509,0.496,0.165,1.4,8.2,4.7,25.8,2.1,0.4,22.7,17.9,0.1,0.7,0.7,0.026,-1.5,-1.2,-2.7,-0.2,0.0
6,53,38,Keith Bogans,SF,73,1787,183,454,0.403,67,187,0.358,116,267,0.434,0.477,65,103,0.631,106,211,317,98,46,10,75,128,498,11.0,0.499,0.412,0.227,6.6,13.7,10.1,8.7,1.4,0.4,13.1,14.5,1.3,0.0,1.3,0.034,-0.5,-2.0,-2.4,-0.2,0.0
7,92,67,Žarko Čabarkapa,PF,49,570,81,197,0.411,6,32,0.188,75,165,0.455,0.426,35,53,0.66,26,73,99,40,10,13,54,75,203,8.4,0.461,0.162,0.269,5.2,14.7,9.9,11.6,0.9,1.7,19.7,21.7,-0.7,0.3,-0.4,-0.037,-4.2,-1.4,-5.7,-0.5,0.0
8,117,88,Brian Cook,C,35,442,67,141,0.475,0,5,0.0,67,136,0.493,0.475,21,28,0.75,31,70,101,20,16,16,17,64,155,14.0,0.505,0.035,0.199,7.8,18.2,12.9,7.4,1.9,2.7,10.0,17.3,0.5,0.7,1.1,0.122,-2.1,0.9,-1.1,0.1,0.0
9,143,108,Boris Diaw,SG,76,1919,140,313,0.447,6,26,0.231,134,287,0.467,0.457,56,93,0.602,111,231,342,182,59,37,126,191,342,8.8,0.483,0.083,0.297,6.6,13.5,10.1,14.9,1.6,1.4,26.3,11.4,-0.3,1.1,0.8,0.021,-2.4,0.1,-2.3,-0.2,0.0
