Rk,Player,Season,Pos,Tm,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Balance,all_nba
1,Precious Achiuwa,2022,C,TOR,55,1140,196,404,0.485,29,108,0.269,167,296,0.564,0.521,87,124,0.702,100,228,328,50,31,30,59,102,508,15.2,0.554,0.267,0.307,9.3,24.4,16.3,6.3,1.3,2.6,11.4,19.4,0.8,1.4,2.2,0.093,-1.4,-0.8,-2.3,-0.1,0.5,0.0
2,Steven Adams,2022,C,MEM,42,1133,157,263,0.597,0,1,0.0,157,262,0.599,0.597,47,129,0.364,214,271,485,97,36,46,79,98,361,17.5,0.564,0.004,0.49,20.1,25.3,22.7,11.2,1.5,3.7,19.8,14.6,1.3,2.1,3.4,0.144,-0.3,0.9,0.6,0.7,0.6219512195121951,0.0
3,Bam Adebayo,2022,C,MIA,75,2598,602,1114,0.54,1,12,0.083,601,1102,0.545,0.541,324,402,0.806,184,504,688,240,88,61,187,208,1529,20.1,0.592,0.011,0.361,8.0,23.6,15.5,15.9,1.7,2.4,12.7,25.2,3.6,3.8,7.4,0.137,0.8,0.8,1.5,2.3,0.5365853658536586,0.0
4,Ochai Agbaji,2022,SG,UTA,59,1209,165,386,0.427,81,228,0.355,84,158,0.532,0.532,56,69,0.812,43,78,121,67,16,15,41,99,467,9.5,0.561,0.591,0.179,3.9,6.9,5.4,7.5,0.6,1.0,9.0,15.8,0.9,0.4,1.3,0.053,-1.7,-1.4,-3.0,-0.3,0.4512195121951219,0.0
5,Santi Aldama,2022,PF,MEM,77,1682,247,525,0.47,94,266,0.353,153,259,0.591,0.56,108,144,0.75,85,286,371,97,45,48,60,143,696,13.9,0.591,0.507,0.274,5.4,18.0,11.7,7.6,1.3,2.6,9.3,16.0,2.1,2.4,4.6,0.13,-0.3,0.8,0.5,1.1,0.6219512195121951,0.0
6,Nickeil Alexander-Walker,2022,SG,TOT,59,884,131,295,0.444,61,159,0.384,70,136,0.515,0.547,40,60,0.667,15,86,101,108,32,21,55,88,363,11.6,0.565,0.539,0.203,1.9,10.5,6.3,16.7,1.7,2.0,14.6,17.9,0.3,0.8,1.1,0.062,-1.4,0.4,-0.9,0.2,,0.0
6,Nickeil Alexander-Walker,2022,SG,UTA,36,528,83,170,0.488,35,87,0.402,48,83,0.578,0.591,27,39,0.692,8,51,59,76,24,14,45,58,228,13.0,0.609,0.512,0.229,1.7,10.3,6.0,19.9,2.2,2.2,19.4,18.4,0.3,0.5,0.8,0.074,-0.6,1.1,0.5,0.3,0.4512195121951219,0.0
6,Nickeil Alexander-Walker,2022,SG,MIN,23,356,48,125,0.384,26,72,0.361,22,53,0.415,0.488,13,21,0.619,7,35,42,32,8,7,10,30,135,9.6,0.503,0.576,0.168,2.2,10.8,6.6,12.0,1.1,1.7,6.9,17.3,0.0,0.3,0.3,0.044,-2.5,-0.5,-3.0,-0.1,0.5121951219512195,0.0
7,Grayson Allen,2022,SG,MIL,72,1972,245,557,0.44,146,366,0.399,99,191,0.518,0.571,114,126,0.905,61,176,237,163,62,14,72,117,750,12.3,0.612,0.657,0.226,3.4,9.0,6.3,10.9,1.5,0.6,10.5,14.6,2.8,2.2,5.1,0.123,-0.6,0.7,0.1,1.0,0.7073170731707317,0.0
8,Jarrett Allen,2022,C,CLE,68,2220,403,626,0.644,1,10,0.1,402,616,0.653,0.645,162,221,0.733,221,445,666,113,54,84,93,153,969,19.9,0.67,0.016,0.353,11.7,23.6,17.7,7.5,1.2,3.5,11.4,16.4,5.5,4.0,9.5,0.205,1.3,1.0,2.4,2.4,0.6219512195121951,0.0
9,Jose Alvarado,2022,PG,NOP,61,1310,201,489,0.411,83,247,0.336,118,242,0.488,0.496,65,80,0.813,28,113,141,186,67,10,81,125,550,11.8,0.525,0.505,0.164,2.4,9.8,6.1,19.9,2.5,0.7,13.4,19.8,0.1,1.7,1.8,0.066,-2.0,0.7,-1.2,0.3,0.5121951219512195,0.0
10,Kyle Anderson,2022,PF,MIN,69,1957,252,495,0.509,43,105,0.41,209,390,0.536,0.553,100,136,0.735,66,302,368,335,78,63,103,146,647,14.8,0.583,0.212,0.275,3.8,16.9,10.5,22.6,1.9,2.8,15.7,14.4,2.5,2.6,5.1,0.125,0.2,2.3,2.5,2.2,0.5121951219512195,0.0
11,Giannis Antetokounmpo,2022,PF,MIL,63,2024,707,1278,0.553,47,171,0.275,660,1107,0.596,0.572,498,772,0.645,137,605,742,359,52,51,246,197,1959,29.0,0.605,0.134,0.604,7.3,30.0,19.1,33.2,1.2,2.1,13.2,38.8,4.9,3.7,8.6,0.204,5.8,2.7,8.5,5.4,0.7073170731707317,1.0
12,Thanasis Antetokounmpo,2022,PF,MIL,37,206,20,46,0.435,0,8,0.0,20,38,0.526,0.435,11,22,0.5,15,29,44,15,3,3,12,22,51,6.7,0.458,0.174,0.478,7.9,14.1,11.1,9.3,0.7,1.2,17.7,13.8,-0.1,0.2,0.1,0.022,-6.5,-1.1,-7.6,-0.3,0.7073170731707317,0.0
13,Cole Anthony,2022,PG,ORL,60,1552,277,610,0.454,75,206,0.364,202,404,0.5,0.516,152,170,0.894,47,241,288,235,37,31,91,158,781,16.0,0.57,0.338,0.279,3.4,17.6,10.5,22.9,1.2,1.9,11.7,21.5,2.1,1.7,3.7,0.116,0.7,0.5,1.3,1.3,0.4146341463414634,0.0
14,OG Anunoby,2022,SF,TOR,67,2386,421,885,0.476,142,367,0.387,279,518,0.539,0.556,140,167,0.838,95,237,332,131,128,50,132,200,1124,14.6,0.586,0.415,0.189,4.2,12.1,7.9,8.0,2.7,2.0,12.1,19.5,1.8,2.9,4.7,0.094,-0.3,0.7,0.4,1.5,0.5,0.0
15,Ryan Arcidiacono,2022,PG,TOT,20,172,9,37,0.243,8,23,0.348,1,14,0.071,0.351,0,0,,0,15,15,23,5,0,7,17,26,2.7,0.351,0.622,0.0,0.0,10.0,5.0,16.9,1.4,0.0,15.9,11.1,-0.2,0.1,-0.2,-0.043,-7.3,-1.5,-8.8,-0.3,,0.0
15,Ryan Arcidiacono,2022,PG,NYK,11,26,1,5,0.2,1,3,0.333,0,2,0.0,0.3,0,0,,0,4,4,2,2,0,1,3,3,3.1,0.3,0.6,0.0,0.0,17.0,8.4,9.3,3.8,0.0,16.7,9.9,0.0,0.0,0.0,-0.012,-8.9,3.8,-5.1,0.0,0.573170731707317,0.0
15,Ryan Arcidiacono,2022,PG,POR,9,146,8,32,0.25,7,20,0.35,1,12,0.083,0.359,0,0,,0,11,11,21,3,0,6,14,23,2.6,0.359,0.625,0.0,0.0,8.7,4.3,18.3,1.0,0.0,15.8,11.3,-0.2,0.0,-0.1,-0.049,-7.0,-2.4,-9.4,-0.3,0.4024390243902439,0.0
16,Deni Avdija,2022,SF,WAS,76,2020,253,579,0.437,69,232,0.297,184,347,0.53,0.497,122,165,0.739,74,413,487,211,65,29,123,209,697,11.2,0.535,0.401,0.285,4.2,21.9,13.4,13.9,1.6,1.2,15.9,16.7,0.0,2.3,2.3,0.054,-2.8,0.5,-2.3,-0.1,0.4268292682926829,0.0
17,Deandre Ayton,2022,C,PHO,67,2035,522,887,0.589,7,24,0.292,515,863,0.597,0.592,152,200,0.76,172,495,667,115,37,53,120,190,1203,19.9,0.617,0.027,0.225,9.2,27.5,18.1,9.2,0.9,2.3,11.0,22.9,3.3,3.0,6.2,0.147,0.9,0.0,0.9,1.5,0.5487804878048781,0.0
18,Udoka Azubuike,2022,C,UTA,36,359,59,72,0.819,0,0,,59,72,0.819,0.819,7,20,0.35,31,88,119,11,6,15,18,34,125,16.1,0.774,0.0,0.278,9.5,26.1,17.9,4.3,0.8,3.5,18.2,11.5,0.6,0.4,1.0,0.134,-1.2,0.5,-0.6,0.1,0.4512195121951219,0.0
19,Marvin Bagley III,2022,C,DET,42,990,202,382,0.529,19,66,0.288,183,316,0.579,0.554,81,108,0.75,94,175,269,36,19,30,46,81,504,17.2,0.587,0.173,0.283,10.2,20.2,15.1,5.9,0.9,2.7,9.7,20.4,1.3,0.7,2.0,0.095,0.3,-1.2,-0.9,0.3,0.2073170731707317,0.0
20,Patrick Baldwin Jr.,2022,SF,GSW,31,226,43,109,0.394,32,84,0.381,11,25,0.44,0.541,4,6,0.667,1,39,40,11,6,4,11,14,122,11.3,0.546,0.771,0.055,0.5,18.6,9.7,6.9,1.3,1.6,9.0,22.8,-0.1,0.3,0.1,0.029,-0.7,-1.4,-2.1,0.0,0.5365853658536586,0.0
21,LaMelo Ball,2022,PG,CHO,36,1268,296,721,0.411,144,383,0.376,152,338,0.45,0.51,102,122,0.836,42,189,231,304,46,11,129,118,838,17.9,0.541,0.531,0.169,3.5,16.2,9.7,38.7,1.7,0.8,14.3,30.0,0.6,1.2,1.8,0.068,3.2,-0.8,2.4,1.4,,0.0
22,Mo Bamba,2022,C,TOT,49,769,117,241,0.485,48,124,0.387,69,117,0.59,0.585,41,62,0.661,58,167,225,46,13,43,30,105,323,15.7,0.602,0.515,0.257,8.5,24.2,16.4,8.7,0.8,5.3,10.1,16.6,1.1,1.1,2.2,0.139,-0.2,0.7,0.5,0.5,,0.0
22,Mo Bamba,2022,C,ORL,40,681,106,214,0.495,43,108,0.398,63,106,0.594,0.596,35,51,0.686,47,137,184,42,12,38,22,86,290,16.3,0.613,0.505,0.238,7.8,22.8,15.3,9.0,0.9,5.4,8.5,16.3,1.2,0.9,2.1,0.15,0.4,0.9,1.3,0.6,0.4146341463414634,0.0
22,Mo Bamba,2022,C,LAL,9,88,11,27,0.407,5,16,0.313,6,11,0.545,0.5,6,11,0.545,11,30,41,4,1,5,8,19,33,11.4,0.518,0.593,0.407,13.9,35.3,24.9,6.0,0.5,4.8,20.1,19.1,-0.1,0.2,0.1,0.054,-5.3,-0.2,-5.5,-0.1,0.524390243902439,0.0
23,Paolo Banchero,2022,PF,ORL,72,2430,479,1122,0.427,85,285,0.298,394,837,0.471,0.465,394,534,0.738,84,413,497,269,60,39,200,160,1437,14.9,0.529,0.254,0.476,3.9,19.3,11.6,17.2,1.2,1.5,12.8,27.5,-0.3,2.6,2.4,0.047,-0.7,-0.7,-1.5,0.3,0.4146341463414634,0.0
24,Desmond Bane,2022,SG,MEM,58,1841,450,939,0.479,166,407,0.408,284,532,0.534,0.568,181,205,0.883,43,248,291,254,56,22,126,150,1247,19.1,0.606,0.433,0.218,2.5,14.3,8.4,20.8,1.4,1.1,10.9,26.1,3.5,2.3,5.8,0.151,3.3,0.1,3.5,2.5,0.6219512195121951,0.0
25,Dalano Banton,2022,PG,TOR,31,279,55,130,0.423,15,51,0.294,40,79,0.506,0.481,17,24,0.708,11,34,45,36,13,13,18,34,142,14.9,0.505,0.392,0.185,4.2,14.9,9.1,19.3,2.3,4.5,11.4,24.2,0.0,0.4,0.4,0.064,-1.1,0.6,-0.5,0.1,0.5,0.0
