Rk,Player,Pos,Tm,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
331,Eldridge Recasner,PG,CHH,7,28,3,7,0.429,1,4,0.25,2,3,0.667,0.5,0,0,,0,4,4,5,0,0,0,1,7,13.1,0.5,0.571,0.0,0.0,15.7,8.0,28.1,0.0,0.0,0.0,11.2,0.1,0.0,0.1,0.135,-0.7,-0.1,-0.8,0.0
332,Bryant Reeves,C,VAN,69,1773,252,562,0.448,0,4,0.0,252,558,0.452,0.448,107,165,0.648,126,264,390,82,33,38,119,245,611,10.6,0.481,0.007,0.294,8.4,18.0,13.2,7.9,1.0,1.5,15.8,19.3,-0.2,0.9,0.6,0.017,-3.4,-1.4,-4.9,-1.3
333,Khalid Reeves,PG,CHI,3,48,3,12,0.25,0,3,0.0,3,9,0.333,0.25,5,5,1.0,2,2,4,13,2,0,6,8,11,7.8,0.387,0.25,0.417,4.8,5.0,4.9,46.3,2.2,0.0,29.7,19.3,-0.1,0.0,0.0,-0.046,-4.7,-0.5,-5.2,0.0
334,Don Reid,PF,TOT,38,498,60,112,0.536,0,0,,60,112,0.536,0.536,24,34,0.706,31,71,102,11,24,31,23,118,144,12.1,0.567,0.0,0.304,7.1,16.6,11.8,3.5,2.5,4.5,15.3,13.3,0.5,0.7,1.1,0.11,-3.8,2.1,-1.8,0.0
334,Don Reid,PF,DET,21,165,16,34,0.471,0,0,,16,34,0.471,0.471,3,6,0.5,5,20,25,1,5,12,11,45,35,4.1,0.478,0.0,0.176,3.5,14.0,8.8,0.9,1.5,5.3,23.1,12.7,-0.2,0.2,0.0,-0.006,-8.0,1.8,-6.2,-0.2
334,Don Reid,PF,WAS,17,333,44,78,0.564,0,0,,44,78,0.564,0.564,21,28,0.75,26,51,77,10,19,19,12,73,109,16.0,0.603,0.0,0.359,8.9,17.8,13.3,4.8,3.0,4.1,11.7,13.6,0.7,0.5,1.2,0.167,-1.8,2.2,0.4,0.2
335,J.R. Reid,PF,MIL,34,602,53,127,0.417,1,7,0.143,52,120,0.433,0.421,43,56,0.768,29,88,117,18,19,5,20,81,150,9.0,0.495,0.055,0.441,5.7,17.0,11.4,4.2,1.6,0.6,11.7,12.7,0.4,0.3,0.7,0.059,-2.9,-0.7,-3.6,-0.2
336,Rodrick Rhodes,SF,DAL,1,8,0,3,0.0,0,0,,0,3,0.0,0.0,0,0,,1,0,1,0,2,0,2,0,0,-9.2,0.0,0.0,0.0,13.5,0.0,6.7,0.0,12.6,0.0,40.0,27.6,-0.1,0.0,-0.1,-0.553,-15.6,0.7,-14.9,0.0
337,Glen Rice,SF,LAL,80,2530,421,980,0.43,84,229,0.367,337,751,0.449,0.472,346,396,0.874,56,271,327,176,47,12,114,179,1272,16.2,0.551,0.234,0.404,2.4,11.3,6.9,11.1,1.0,0.3,9.0,22.0,5.7,3.2,9.0,0.17,1.2,-0.3,0.9,1.8
338,Mitch Richmond,SG,WAS,74,2397,447,1049,0.426,93,241,0.386,354,808,0.438,0.47,298,340,0.876,37,176,213,185,110,13,154,191,1285,16.5,0.536,0.23,0.324,1.8,8.6,5.1,13.5,2.4,0.4,11.4,25.0,3.8,1.4,5.2,0.104,1.3,-0.2,1.1,1.9
339,Isaiah Rider,SG,ATL,60,2084,449,1072,0.419,56,180,0.311,393,892,0.441,0.445,204,260,0.785,63,195,258,219,41,6,168,132,1158,15.7,0.488,0.168,0.243,3.3,10.2,6.8,19.4,1.0,0.2,12.4,28.8,1.2,0.4,1.6,0.037,0.9,-2.3,-1.4,0.3
340,Stanley Roberts,C,PHI,5,51,5,16,0.313,0,1,0.0,5,15,0.333,0.313,0,3,0.0,6,9,15,3,1,1,2,15,10,3.0,0.289,0.063,0.188,12.8,19.8,16.2,9.0,1.0,1.4,10.4,16.6,-0.1,0.1,0.0,-0.025,-8.4,-0.6,-9.0,-0.1
341,Ryan Robertson,SG,SAC,1,25,2,6,0.333,0,2,0.0,2,4,0.5,0.333,1,1,1.0,0,0,0,0,0,0,0,0,5,2.6,0.388,0.333,0.167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.7,0.0,0.0,0.0,-0.022,-3.8,-1.6,-5.4,0.0
342,Clifford Robinson,SF,PHO,80,2839,530,1142,0.464,120,324,0.37,410,818,0.501,0.517,298,381,0.782,105,254,359,224,90,61,166,239,1478,17.3,0.564,0.284,0.334,4.2,9.8,7.0,13.3,1.6,1.5,11.2,22.9,5.7,3.9,9.6,0.162,2.1,0.4,2.5,3.2
343,David Robinson,C,SAS,80,2557,528,1031,0.512,0,2,0.0,528,1029,0.513,0.512,371,511,0.726,193,577,770,142,97,183,164,247,1427,24.6,0.568,0.002,0.496,9.0,24.5,17.1,10.3,2.0,4.9,11.6,25.6,6.2,6.4,12.7,0.238,3.1,2.7,5.8,5.0
344,Eddie Robinson,SF,CHH,67,1112,212,386,0.549,0,4,0.0,212,382,0.555,0.549,47,64,0.734,54,130,184,32,48,25,39,67,471,16.4,0.569,0.01,0.166,5.6,12.8,9.3,5.2,2.2,1.6,8.6,18.3,1.5,1.5,3.0,0.13,0.4,0.2,0.6,0.7
