Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,PHI,Markelle Fultz,Washington,7,234,5939,2595,797,1084,.472,.274,.731,25.4,11.1,3.4,4.6,8.5,.069,-1.1,1.3
2,2,LAL,Lonzo Ball,UCLA,5,252,8187,2995,1447,1563,.400,.364,.578,32.5,11.9,5.7,6.2,11.4,.067,1.1,6.3
3,3,BOS,Jayson Tatum,Duke,7,513,17561,11852,3670,1812,.460,.375,.844,34.2,23.1,7.2,3.5,55.9,.153,3.6,24.6
4,4,PHO,Josh Jackson,Kansas,5,291,6718,3276,1159,534,.416,.292,.680,23.1,11.3,4.0,1.8,-1.7,-.012,-3.8,-3.1
5,5,SAC,De'Aaron Fox,Kentucky,7,469,15420,9940,1784,2870,.471,.334,.736,32.9,21.2,3.8,6.1,29.6,.092,0.9,11.4
6,6,ORL,Jonathan Isaac,Florida State,5,205,4550,1717,1045,182,.449,.341,.771,22.2,8.4,5.1,0.9,10.6,.112,1.0,3.5
7,7,MIN,Lauri Markkanen,Arizona,7,403,12482,7308,2923,587,.459,.375,.866,31.0,18.1,7.3,1.5,31.0,.119,1.2,9.9
8,8,NYK,Frank Ntilikina,,7,321,5454,1535,563,693,.369,.320,.762,17.0,4.8,1.8,2.2,0.3,.003,-4.4,-3.4
9,9,DAL,Dennis Smith Jr.,NC State,7,326,7601,3160,967,1381,.407,.298,.674,23.3,9.7,3.0,4.2,2.3,.015,-2.1,-0.2
10,10,SAC,Zach Collins,Gonzaga,6,314,6160,2606,1539,574,.479,.336,.750,19.6,8.3,4.9,1.8,9.2,.071,-1.7,0.4
11,11,CHO,Malik Monk,Kentucky,7,458,9889,5327,1132,1295,.433,.355,.844,21.6,11.6,2.5,2.8,12.4,.060,-1.1,2.2
12,12,DET,Luke Kennard,Duke,7,395,9287,3941,1118,830,.454,.439,.879,23.5,10.0,2.8,2.1,19.7,.102,-0.2,4.3
13,13,DEN,Donovan Mitchell,Louisville,7,468,16011,11619,2002,2176,.450,.366,.843,34.2,24.8,4.3,4.6,44.4,.133,3.4,22.0
14,14,MIA,Bam Adebayo,Kentucky,7,489,14680,7513,4275,1707,.547,.221,.755,30.0,15.4,8.7,3.5,50.1,.164,2.6,17.2
15,15,POR,Justin Jackson,UNC,7,280,4886,1676,654,285,.423,.319,.796,17.5,6.0,2.3,1.0,5.3,.052,-2.8,-1.0
16,16,CHI,Justin Patton,Creighton,4,22,296,86,60,19,.404,.250,.667,13.5,3.9,2.7,0.9,0.4,.066,-2.8,-0.1
17,17,MIL,D.J. Wilson,Michigan,6,148,1818,657,454,110,.422,.331,.618,12.3,4.4,3.1,0.7,2.9,.077,-2.4,-0.2
18,18,IND,T.J. Leaf,UCLA,4,146,1238,477,283,43,.492,.341,.585,8.5,3.3,1.9,0.3,2.7,.104,-1.8,0.1
19,19,ATL,John Collins,Wake Forest,7,432,12519,6795,3478,617,.548,.358,.785,29.0,15.7,8.1,1.4,36.7,.141,0.6,8.3
20,20,POR,Harry Giles,Duke,4,165,1935,888,573,180,.508,.244,.661,11.7,5.4,3.5,1.1,3.1,.076,-2.5,-0.2
21,21,OKC,Terrance Ferguson,,4,204,4000,924,263,144,.404,.334,.753,19.6,4.5,1.3,0.7,4.4,.053,-4.0,-2.1
22,22,BRK,Jarrett Allen,Texas,7,486,13725,6185,4441,790,.630,.171,.711,28.2,12.7,9.1,1.6,55.1,.193,2.1,14.1
