Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,MIN,Karl-Anthony Towns,Kentucky,9,573,19455,13121,6216,1815,.524,.398,.839,34.0,22.9,10.8,3.2,75.0,.185,4.5,31.8
2,2,LAL,D'Angelo Russell,Ohio State,9,571,17265,10136,1954,3289,.430,.369,.792,30.2,17.8,3.4,5.8,24.6,.068,0.7,11.8
3,3,PHI,Jahlil Okafor,Duke,6,247,4827,2566,1169,225,.542,.222,.676,19.5,10.4,4.7,0.9,7.2,.071,-2.0,0.0
4,4,NYK,Kristaps Porziņģis,,8,459,14196,9021,3604,826,.459,.361,.831,30.9,19.7,7.9,1.8,42.7,.144,2.5,16.1
5,5,ORL,Mario Hezonja,,5,330,6107,2284,1026,415,.417,.319,.812,18.5,6.9,3.1,1.3,3.2,.025,-2.8,-1.2
6,6,SAC,Willie Cauley-Stein,Kentucky,7,422,9276,3675,2470,598,.544,.188,.612,22.0,8.7,5.9,1.4,23.3,.121,-0.1,4.4
7,7,DEN,Emmanuel Mudiay,,6,302,7187,3299,884,1143,.401,.323,.744,23.8,10.9,2.9,3.8,-0.2,-.001,-3.2,-2.2
8,8,DET,Stanley Johnson,Arizona,8,449,8879,2806,1404,679,.391,.305,.748,19.8,6.2,3.1,1.5,6.9,.037,-2.7,-1.6
9,9,CHO,Frank Kaminsky,Wisconsin,8,413,8160,3630,1579,651,.430,.349,.746,19.8,8.8,3.8,1.6,15.9,.094,-0.2,3.7
10,10,MIA,Justise Winslow,Duke,8,344,8906,2829,1760,889,.412,.315,.638,25.9,8.2,5.1,2.6,8.2,.044,-2.1,-0.3
11,11,IND,Myles Turner,Texas,9,570,16280,7911,3878,702,.502,.354,.771,28.6,13.9,6.8,1.2,44.0,.130,0.8,11.6
12,12,UTA,Trey Lyles,Kentucky,9,581,10621,4484,2510,615,.443,.347,.745,18.3,7.7,4.3,1.1,19.4,.088,-1.0,2.5
13,13,PHO,Devin Booker,Kentucky,9,598,20354,14529,2413,2993,.464,.357,.870,34.0,24.3,4.0,5.0,45.1,.106,1.2,16.2
14,14,OKC,Cameron Payne,Murray State,9,405,7266,3203,847,1324,.422,.369,.825,17.9,7.9,2.1,3.3,11.7,.077,-0.6,2.5
15,15,ATL,Kelly Oubre Jr.,Kansas,9,595,15664,7790,2664,639,.435,.327,.751,26.3,13.1,4.5,1.1,22.2,.068,-1.8,0.7
16,16,BOS,Terry Rozier,Louisville,9,601,16699,8573,2372,2170,.420,.367,.827,27.8,14.3,3.9,3.6,29.5,.085,0.6,10.8
17,17,MIL,Rashad Vaughn,UNLV,3,139,1671,423,158,75,.337,.313,.692,12.0,3.0,1.1,0.5,-0.6,-.017,-4.7,-1.2
18,18,HOU,Sam Dekker,Wisconsin,5,201,3097,1094,607,160,.478,.288,.606,15.4,5.4,3.0,0.8,5.4,.083,-1.4,0.5
19,19,WAS,Jerian Grant,Notre Dame,5,279,4998,1692,530,805,.411,.323,.770,17.9,6.1,1.9,2.9,8.3,.080,-1.6,0.5
20,20,TOR,Delon Wright,Utah,9,508,10540,3531,1584,1559,.451,.354,.806,20.7,7.0,3.1,3.1,28.2,.128,2.2,11.0
21,21,DAL,Justin Anderson,Virginia,6,242,3280,1284,621,184,.410,.292,.775,13.6,5.3,2.6,0.8,4.9,.072,-1.5,0.4
22,22,CHI,Bobby Portis,Arkansas,9,605,13663,7138,4274,746,.479,.385,.759,22.6,11.8,7.1,1.2,31.1,.109,-0.5,5.3
23,23,POR,Rondae Hollis-Jefferson,Arizona,6,305,6759,2760,1684,579,.449,.212,.735,22.2,9.0,5.5,1.9,12.9,.091,-0.7,2.3
24,24,CLE,Tyus Jones,Duke,9,601,12250,4420,1178,2593,.445,.367,.813,20.4,7.4,2.0,4.3,29.5,.116,0.6,8.1
25,25,MEM,Jarell Martin,LSU,4,184,2927,998,639,114,.434,.346,.766,15.9,5.4,3.5,0.6,3.2,.053,-4.3,-1.7
26,26,SAS,Nikola Milutinov,,,,,,,,,,,,,,,,,,
27,27,LAL,Larry Nance Jr.,Wyoming,9,522,12124,4001,3238,979,.540,.342,.696,23.2,7.7,6.2,1.9,33.4,.132,1.2,9.9
28,28,BOS,R.J. Hunter,Georgia State University,4,45,395,133,46,19,.371,.295,.818,8.8,3.0,1.0,0.4,0.4,.051,-2.0,0.0
29,29,BRK,Chris McCullough,Syracuse,3,59,532,194,112,15,.426,.306,.548,9.0,3.3,1.9,0.3,0.6,.054,-2.5,-0.1
30,30,GSW,Kevon Looney,UCLA,9,523,9166,2633,2929,838,.583,.167,.615,17.5,5.0,5.6,1.6,33.1,.173,0.4,5.5
31,31,MIN,Cedi Osman,,7,476,10815,4427,1411,933,.432,.357,.711,22.7,9.3,3.0,2.0,12.5,.055,-2.1,-0.3
32,32,HOU,Montrezl Harrell,Louisville,8,515,10544,6220,2588,675,.619,.108,.664,20.5,12.1,5.0,1.3,42.9,.195,2.6,12.2
33,33,BOS,Jordan Mickey,LSU,3,64,482,152,128,17,.449,.118,.605,7.5,2.4,2.0,0.3,0.5,.050,-4.8,-0.3
34,34,LAL,Anthony Brown,Stanford,3,41,762,161,103,28,.328,.286,.850,18.6,3.9,2.5,0.7,-0.2,-.016,-5.1,-0.6
35,35,PHI,Willy Hernangómez,,7,344,5149,2524,1982,364,.533,.306,.713,15.0,7.3,5.8,1.1,16.3,.152,0.1,2.8
36,36,MIN,Rakeem Christmas,Syracuse,2,30,225,63,57,4,.467,,.724,7.5,2.1,1.9,0.1,0.5,.105,-4.7,-0.2
37,37,PHI,Richaun Holmes,Bowling Green,9,458,8826,3934,2429,437,.603,.274,.745,19.3,8.6,5.3,1.0,28.8,.156,0.1,4.6
38,38,DET,Darrun Hilliard,Villanova,3,91,859,295,85,71,.377,.304,.747,9.4,3.2,0.9,0.8,0.3,.016,-4.7,-0.6
39,39,CHO,Juan Pablo Vaulet,,,,,,,,,,,,,,,,,,
40,40,MIA,Josh Richardson,Tennessee,9,546,15665,6349,1673,1451,.429,.364,.846,28.7,11.6,3.1,2.7,27.7,.085,-0.6,5.7
