Rk,Tm,Overall,Balance
1,GSW,67-15,0.8170731707317073
2,ATL,60-22,0.7317073170731707
3,HOU,56-26,0.6829268292682927
4,LAC,56-26,0.6829268292682927
5,MEM,55-27,0.6707317073170732
6,SAS,55-27,0.6707317073170732
7,CLE,53-29,0.6463414634146342
8,POR,51-31,0.6219512195121951
9,CHI,50-32,0.6097560975609756
10,DAL,50-32,0.6097560975609756
11,TOR,49-33,0.5975609756097561
12,WAS,46-36,0.5609756097560976
13,NOP,45-37,0.5487804878048781
14,OKC,45-37,0.5487804878048781
15,MIL,41-41,0.5
16,BOS,40-42,0.4878048780487805
17,PHX,39-43,0.47560975609756095
18,BKN,38-44,0.4634146341463415
19,IND,38-44,0.4634146341463415
20,UTA,38-44,0.4634146341463415
21,MIA,37-45,0.45121951219512196
22,CHA,33-49,0.4024390243902439
23,DET,32-50,0.3902439024390244
24,DEN,30-52,0.36585365853658536
25,SAC,29-53,0.35365853658536583
26,ORL,25-57,0.3048780487804878
27,LAL,21-61,0.25609756097560976
28,PHI,18-64,0.21951219512195122
29,NYK,17-65,0.2073170731707317
30,MIN,16-66,0.1951219512195122
