Rk,Tm,Overall,Balance
1,IND,61-21,0.7439024390243902
2,MIN,58-24,0.7073170731707317
3,SAS,57-25,0.6951219512195121
4,LAL,56-26,0.6829268292682927
5,SAC,55-27,0.6707317073170732
6,DET,54-28,0.6585365853658537
7,DAL,52-30,0.6341463414634146
8,MEM,50-32,0.6097560975609756
9,NJN,47-35,0.573170731707317
10,HOU,45-37,0.5487804878048781
11,DEN,43-39,0.524390243902439
12,MIA,42-40,0.5121951219512195
13,UTA,42-40,0.5121951219512195
14,MIL,41-41,0.5
15,NOH,41-41,0.5
16,POR,41-41,0.5
17,NYK,39-43,0.47560975609756095
18,GSW,37-45,0.45121951219512196
19,SEA,37-45,0.45121951219512196
20,BOS,36-46,0.43902439024390244
21,CLE,35-47,0.4268292682926829
22,PHI,33-49,0.4024390243902439
23,TOR,33-49,0.4024390243902439
24,PHO,29-53,0.35365853658536583
25,ATL,28-54,0.34146341463414637
26,LAC,28-54,0.34146341463414637
27,WAS,25-57,0.3048780487804878
28,CHI,23-59,0.2804878048780488
29,ORL,21-61,0.25609756097560976
