Rk,Tm,Overall,Balance
1,PHX,62-20,0.7560975609756098
2,MIA,59-23,0.7195121951219512
3,SAS,59-23,0.7195121951219512
4,DAL,58-24,0.7073170731707317
5,DET,54-28,0.6585365853658537
6,SEA,52-30,0.6341463414634146
7,HOU,51-31,0.6219512195121951
8,SAC,50-32,0.6097560975609756
9,DEN,49-33,0.5975609756097561
10,CHI,47-35,0.573170731707317
11,BOS,45-37,0.5487804878048781
12,MEM,45-37,0.5487804878048781
13,WAS,45-37,0.5487804878048781
14,IND,44-38,0.5365853658536586
15,MIN,44-38,0.5365853658536586
16,PHI,43-39,0.524390243902439
17,NJN,42-40,0.5121951219512195
18,CLE,42-40,0.5121951219512195
19,LAC,37-45,0.45121951219512196
20,ORL,36-46,0.43902439024390244
21,GSW,34-48,0.4146341463414634
22,LAL,34-48,0.4146341463414634
23,NYK,33-49,0.4024390243902439
24,TOR,33-49,0.4024390243902439
25,MIL,30-52,0.36585365853658536
26,POR,27-55,0.32926829268292684
27,UTA,26-56,0.3170731707317073
28,CHA,18-64,0.21951219512195122
29,NOH,18-64,0.21951219512195122
30,ATL,13-69,0.15853658536585366
