Rk,Tm,Overall,Balance
1,SAS,62-20,0.7560975609756098
2,OKC,59-23,0.7195121951219512
3,LAC,57-25,0.6951219512195121
4,IND,56-26,0.6829268292682927
5,HOU,54-28,0.6585365853658537
6,MIA,54-28,0.6585365853658537
7,POR,54-28,0.6585365853658537
8,GSW,51-31,0.6219512195121951
9,MEM,50-32,0.6097560975609756
10,DAL,49-33,0.5975609756097561
11,CHI,48-34,0.5853658536585366
12,TOR,48-34,0.5853658536585366
13,PHX,48-34,0.5853658536585366
14,BKN,44-38,0.5365853658536586
15,WAS,44-38,0.5365853658536586
16,CHA,43-39,0.524390243902439
17,MIN,40-42,0.4878048780487805
18,ATL,38-44,0.4634146341463415
19,NYK,37-45,0.45121951219512196
20,DEN,36-46,0.43902439024390244
21,NOP,34-48,0.4146341463414634
22,CLE,33-49,0.4024390243902439
23,DET,29-53,0.35365853658536583
24,SAC,28-54,0.34146341463414637
25,LAL,27-55,0.32926829268292684
26,BOS,25-57,0.3048780487804878
27,UTA,25-57,0.3048780487804878
28,ORL,23-59,0.2804878048780488
29,PHI,19-63,0.23170731707317074
30,MIL,15-67,0.18292682926829268
