Rk,Tm,Overall,Balance
1,DAL,67-15,0.8170731707317073
2,PHO,61-21,0.7439024390243902
3,SAS,58-24,0.7073170731707317
4,DET,53-29,0.6463414634146342
5,HOU,52-30,0.6341463414634146
6,UTA,51-31,0.6219512195121951
7,CLE,50-32,0.6097560975609756
8,CHI,49-33,0.5975609756097561
9,TOR,47-35,0.573170731707317
10,DEN,45-37,0.5487804878048781
11,MIA,44-38,0.5365853658536586
12,GSW,42-40,0.5121951219512195
13,LAL,42-40,0.5121951219512195
14,NJN,41-41,0.5
15,WAS,41-41,0.5
16,ORL,40-42,0.4878048780487805
17,LAC,40-42,0.4878048780487805
18,NOK,39-43,0.47560975609756095
19,IND,35-47,0.4268292682926829
20,PHI,35-47,0.4268292682926829
21,CHA,33-49,0.4024390243902439
22,NYK,33-49,0.4024390243902439
23,SAC,33-49,0.4024390243902439
24,MIN,32-50,0.3902439024390244
25,POR,32-50,0.3902439024390244
26,SEA,31-51,0.3780487804878049
27,ATL,30-52,0.36585365853658536
28,MIL,28-54,0.34146341463414637
29,BOS,24-58,0.2926829268292683
30,MEM,22-60,0.2682926829268293
