Rk,Tm,Overall,Balance
1,HOU,65-17,0.7926829268292683
2,TOR,59-23,0.7195121951219512
3,GSW,58-24,0.7073170731707317
4,BOS,55-27,0.6707317073170732
5,PHI,52-30,0.6341463414634146
6,CLE,50-32,0.6097560975609756
7,POR,49-33,0.5975609756097561
8,IND,48-34,0.5853658536585366
9,NOP,48-34,0.5853658536585366
10,OKC,48-34,0.5853658536585366
11,UTA,48-34,0.5853658536585366
12,MIN,47-35,0.573170731707317
13,SAS,47-35,0.573170731707317
14,DEN,46-36,0.5609756097560976
15,MIA,44-38,0.5365853658536586
16,MIL,44-38,0.5365853658536586
17,WAS,43-39,0.524390243902439
18,LAC,42-40,0.5121951219512195
19,DET,39-43,0.47560975609756095
20,CHA,36-46,0.43902439024390244
21,LAL,35-47,0.4268292682926829
22,NYK,29-53,0.35365853658536583
23,BKN,28-54,0.34146341463414637
24,CHI,27-55,0.32926829268292684
25,SAC,27-55,0.32926829268292684
26,ORL,25-57,0.3048780487804878
27,ATL,24-58,0.2926829268292683
28,DAL,24-58,0.2926829268292683
29,MEM,22-60,0.2682926829268293
30,PHX,21-61,0.25609756097560976
