Rk,Tm,Overall,Balance
1,GSW,67-15,0.8170731707317073
2,SAS,61-21,0.7439024390243902
3,HOU,55-27,0.6707317073170732
4,BOS,53-29,0.6463414634146342
5,CLE,51-31,0.6219512195121951
6,LAC,51-31,0.6219512195121951
7,TOR,51-31,0.6219512195121951
8,UTA,51-31,0.6219512195121951
9,WAS,49-33,0.5975609756097561
10,OKC,47-35,0.573170731707317
11,ATL,43-39,0.524390243902439
12,MEM,43-39,0.524390243902439
13,IND,42-40,0.5121951219512195
14,MIL,42-40,0.5121951219512195
15,CHI,41-41,0.5
16,POR,41-41,0.5
17,MIA,41-41,0.5
18,DEN,40-42,0.4878048780487805
19,DET,37-45,0.45121951219512196
20,CHA,36-46,0.43902439024390244
21,NOP,34-48,0.4146341463414634
22,DAL,33-49,0.4024390243902439
23,SAC,32-50,0.3902439024390244
24,MIN,31-51,0.3780487804878049
25,NYK,31-51,0.3780487804878049
26,ORL,29-53,0.35365853658536583
27,PHI,28-54,0.34146341463414637
28,LAL,26-56,0.3170731707317073
29,PHO,24-58,0.2926829268292683
30,BKN,20-62,0.24390243902439024
