Rk,Tm,Overall,Balance
1,BOS,66-16,0.8048780487804879
2,DET,59-23,0.7195121951219512
3,LAL,57-25,0.6951219512195121
4,NOH,56-26,0.6829268292682927
5,SAS,56-26,0.6829268292682927
6,HOU,55-27,0.6707317073170732
7,PHX,55-27,0.6707317073170732
8,UTA,54-28,0.6585365853658537
9,ORL,52-30,0.6341463414634146
10,DAL,51-31,0.6219512195121951
11,DEN,50-32,0.6097560975609756
12,GSW,48-34,0.5853658536585366
13,CLE,45-37,0.5487804878048781
14,WAS,43-39,0.524390243902439
15,TOR,41-41,0.5
16,POR,41-41,0.5
17,PHI,40-42,0.4878048780487805
18,SAC,38-44,0.4634146341463415
19,ATL,37-45,0.45121951219512196
20,IND,36-46,0.43902439024390244
21,NJN,34-48,0.4146341463414634
22,CHI,33-49,0.4024390243902439
23,CHA,32-50,0.3902439024390244
24,MIL,26-56,0.3170731707317073
25,LAC,23-59,0.2804878048780488
26,NYK,23-59,0.2804878048780488
27,MEM,22-60,0.2682926829268293
28,MIN,22-60,0.2682926829268293
29,SEA,20-62,0.24390243902439024
30,MIA,15-67,0.18292682926829268
