Rk,Tm,Overall,Balance
1,CHI,62-20,0.7560975609756098
2,SAS,61-21,0.7439024390243902
3,MIA,58-24,0.7073170731707317
4,DAL,57-25,0.6951219512195121
5,LAL,57-25,0.6951219512195121
6,BOS,56-26,0.6829268292682927
7,OKC,55-27,0.6707317073170732
8,ORL,52-30,0.6341463414634146
9,DEN,50-32,0.6097560975609756
10,POR,48-34,0.5853658536585366
11,MEM,46-36,0.5609756097560976
12,NOH,46-36,0.5609756097560976
13,ATL,44-38,0.5365853658536586
14,HOU,43-39,0.524390243902439
15,NYK,42-40,0.5121951219512195
16,PHI,41-41,0.5
17,PHO,40-42,0.4878048780487805
18,UTA,39-43,0.47560975609756095
19,IND,37-45,0.45121951219512196
20,GSW,36-46,0.43902439024390244
21,MIL,35-47,0.4268292682926829
22,CHA,34-48,0.4146341463414634
23,LAC,32-50,0.3902439024390244
24,DET,30-52,0.36585365853658536
25,NJN,24-58,0.2926829268292683
26,SAC,24-58,0.2926829268292683
27,WAS,23-59,0.2804878048780488
28,TOR,22-60,0.2682926829268293
29,CLE,19-63,0.23170731707317074
30,MIN,17-65,0.2073170731707317
