Rk,Tm,Overall,Balance
1,MIL,60-22,0.7317073170731707
2,TOR,58-24,0.7073170731707317
3,GSW,57-25,0.6951219512195121
4,DEN,54-28,0.6585365853658537
5,HOU,53-29,0.6463414634146342
6,POR,53-29,0.6463414634146342
7,PHI,51-31,0.6219512195121951
8,UTA,50-32,0.6097560975609756
9,BOS,49-33,0.5975609756097561
10,OKC,49-33,0.5975609756097561
11,IND,48-34,0.5853658536585366
12,LAC,48-34,0.5853658536585366
13,SAS,48-34,0.5853658536585366
14,BKN,42-40,0.5121951219512195
15,ORL,42-40,0.5121951219512195
16,DET,41-41,0.5
17,CHA,39-43,0.47560975609756095
18,MIA,39-43,0.47560975609756095
19,SAC,39-43,0.47560975609756095
20,LAL,37-45,0.45121951219512196
21,MIN,36-46,0.43902439024390244
22,DAL,33-49,0.4024390243902439
23,MEM,33-49,0.4024390243902439
24,NOP,33-49,0.4024390243902439
25,WAS,32-50,0.3902439024390244
26,ATL,29-53,0.35365853658536583
27,CHI,22-60,0.2682926829268293
28,CLE,19-63,0.23170731707317074
29,PHO,19-63,0.23170731707317074
30,NYK,17-65,0.2073170731707317
