Rk,Tm,Overall,Balance
1,UTA,52-20,0.7222222222222222
2,PHO,51-21,0.7083333333333334
3,PHI,49-23,0.6805555555555556
4,BKN,48-24,0.6666666666666666
5,DEN,47-25,0.6527777777777778
6,LAC,47-25,0.6527777777777778
7,MIL,46-26,0.6388888888888888
8,DAL,42-30,0.5833333333333334
9,LAL,42-30,0.5833333333333334
10,POR,42-30,0.5833333333333334
11,ATL,41-31,0.5694444444444444
12,NYK,41-31,0.5694444444444444
13,MIA,40-32,0.5555555555555556
14,GSW,39-33,0.5416666666666666
15,MEM,38-34,0.5277777777777778
16,BOS,36-36,0.5
17,WAS,34-38,0.4722222222222222
18,IND,34-38,0.4722222222222222
19,CHO,33-39,0.4583333333333333
20,SAS,33-39,0.4583333333333333
21,CHI,31-41,0.4305555555555556
22,NOP,31-41,0.4305555555555556
23,SAC,31-41,0.4305555555555556
24,TOR,27-45,0.375
25,MIN,23-49,0.3194444444444444
26,CLE,22-50,0.3055555555555556
27,OKC,22-50,0.3055555555555556
28,ORL,21-51,0.2916666666666667
29,DET,20-52,0.2777777777777778
30,HOU,17-55,0.2361111111111111
