Rk,Tm,Overall,Balance
1,MIA,66-16,0.8048780487804879
2,OKC,60-22,0.7317073170731707
3,SAS,58-24,0.7073170731707317
4,DEN,57-25,0.6951219512195121
5,LAC,56-26,0.6829268292682927
6,MEM,56-26,0.6829268292682927
7,NYK,54-28,0.6585365853658537
8,BKN,49-33,0.5975609756097561
9,IND,49-32,0.6049382716049383
10,GSW,47-35,0.573170731707317
11,CHI,45-37,0.5487804878048781
12,HOU,45-37,0.5487804878048781
13,LAL,45-37,0.5487804878048781
14,ATL,44-38,0.5365853658536586
15,UTA,43-39,0.524390243902439
16,BOS,41-40,0.5061728395061729
17,DAL,41-41,0.5
18,MIL,38-44,0.4634146341463415
19,PHI,34-48,0.4146341463414634
20,TOR,34-48,0.4146341463414634
21,POR,33-49,0.4024390243902439
22,MIN,31-51,0.3780487804878049
23,DET,29-53,0.35365853658536583
24,WAS,29-53,0.35365853658536583
25,SAC,28-54,0.34146341463414637
26,NOH,27-55,0.32926829268292684
27,PHO,25-57,0.3048780487804878
28,CLE,24-58,0.2926829268292683
29,CHA,21-61,0.25609756097560976
30,ORL,20-62,0.24390243902439024
