Rk,Tm,Overall,Balance
1,CHI,50-16,0.7575757575757576
2,SAS,50-16,0.7575757575757576
3,OKC,47-19,0.7121212121212122
4,MIA,46-20,0.696969696969697
5,IND,42-24,0.6363636363636364
6,LAL,41-25,0.6212121212121212
7,MEM,41-25,0.6212121212121212
8,ATL,40-26,0.6060606060606061
9,LAC,40-26,0.6060606060606061
10,BOS,39-27,0.5909090909090909
11,DEN,38-28,0.5757575757575758
12,ORL,37-29,0.5606060606060606
13,DAL,36-30,0.5454545454545454
14,NYK,36-30,0.5454545454545454
15,UTA,36-30,0.5454545454545454
16,PHI,35-31,0.5303030303030303
17,HOU,34-32,0.5151515151515151
18,PHO,33-33,0.5
19,MIL,31-35,0.4696969696969697
20,POR,28-38,0.42424242424242425
21,MIN,26-40,0.3939393939393939
22,DET,25-41,0.3787878787878788
23,GSW,23-43,0.3484848484848485
24,TOR,23-43,0.3484848484848485
25,NJN,22-44,0.3333333333333333
26,SAC,22-44,0.3333333333333333
27,CLE,21-45,0.3181818181818182
28,NOH,21-45,0.3181818181818182
29,WAS,20-46,0.30303030303030304
30,CHA,7-59,0.10606060606060606
