Rk,Tm,Overall,Balance
1,LAL,67-15,0.8170731707317073
2,POR,59-23,0.7195121951219512
3,IND,56-26,0.6829268292682927
4,UTA,55-27,0.6707317073170732
5,PHO,53-29,0.6463414634146342
6,SAS,53-29,0.6463414634146342
7,MIA,52-30,0.6341463414634146
8,MIN,50-32,0.6097560975609756
9,NYK,50-32,0.6097560975609756
10,CHA,49-33,0.5975609756097561
11,PHI,49-33,0.5975609756097561
12,SEA,45-37,0.5487804878048781
13,TOR,45-37,0.5487804878048781
14,SAC,44-38,0.5365853658536586
15,DET,42-40,0.5121951219512195
16,MIL,42-40,0.5121951219512195
17,ORL,41-41,0.5
18,DAL,40-42,0.4878048780487805
19,BOS,35-47,0.4268292682926829
20,DEN,35-47,0.4268292682926829
21,HOU,34-48,0.4146341463414634
22,CLE,32-50,0.3902439024390244
23,NJN,31-51,0.3780487804878049
24,WAS,29-53,0.35365853658536583
25,ATL,28-54,0.34146341463414637
26,VAN,22-60,0.2682926829268293
27,GSW,19-63,0.23170731707317074
28,CHI,17-65,0.2073170731707317
29,LAC,15-67,0.18292682926829268
