Rk,Tm,Overall,Balance
1,DAL,60-22,0.7317073170731707
2,SAS,60-22,0.7317073170731707
3,SAC,59-23,0.7195121951219512
4,MIN,51-31,0.6219512195121951
5,DET,50-32,0.6097560975609756
6,LAL,50-32,0.6097560975609756
7,POR,50-32,0.6097560975609756
8,NJN,49-33,0.5975609756097561
9,IND,48-34,0.5853658536585366
10,PHI,48-34,0.5853658536585366
11,NOH,47-35,0.573170731707317
12,UTA,47-35,0.573170731707317
13,BOS,44-38,0.5365853658536586
14,PHX,44-38,0.5365853658536586
15,HOU,43-39,0.524390243902439
16,MIL,42-40,0.5121951219512195
17,ORL,42-40,0.5121951219512195
18,SEA,40-42,0.4878048780487805
19,GSW,38-44,0.4634146341463415
20,NYK,37-45,0.45121951219512196
21,WAS,37-45,0.45121951219512196
22,ATL,35-47,0.4268292682926829
23,CHI,30-52,0.36585365853658536
24,MEM,28-54,0.34146341463414637
25,LAC,27-55,0.32926829268292684
26,MIA,25-57,0.3048780487804878
27,TOR,24-58,0.2926829268292683
28,CLE,17-65,0.2073170731707317
29,DEN,17-65,0.2073170731707317
