Rk,Tm,Overall,Balance
1,CLE,61-21,0.7439024390243902
2,ORL,59-23,0.7195121951219512
3,LAL,57-25,0.6951219512195121
4,DAL,55-27,0.6707317073170732
5,PHO,54-28,0.6585365853658537
6,ATL,53-29,0.6463414634146342
7,DEN,53-29,0.6463414634146342
8,UTA,53-29,0.6463414634146342
9,BOS,50-32,0.6097560975609756
10,OKC,50-32,0.6097560975609756
11,POR,50-32,0.6097560975609756
12,SAS,50-32,0.6097560975609756
13,MIA,47-35,0.573170731707317
14,MIL,46-36,0.5609756097560976
15,CHA,44-38,0.5365853658536586
16,HOU,42-40,0.5121951219512195
17,CHI,41-41,0.5
18,MEM,40-42,0.4878048780487805
19,TOR,40-42,0.4878048780487805
20,NOH,37-45,0.45121951219512196
21,IND,32-50,0.3902439024390244
22,LAC,29-53,0.35365853658536583
23,NYK,29-53,0.35365853658536583
24,DET,27-55,0.32926829268292684
25,PHI,27-55,0.32926829268292684
26,GSW,26-56,0.3170731707317073
27,WAS,26-56,0.3170731707317073
28,SAC,25-57,0.3048780487804878
29,MIN,15-67,0.18292682926829268
30,NJN,12-70,0.14634146341463414
