Rk,Tm,Overall,Balance
1,MIL,58-24,0.7073170731707317
2,BOS,57-25,0.6951219512195121
3,PHI,54-28,0.6585365853658537
4,DEN,53-29,0.6463414634146342
5,CLE,51-31,0.6219512195121951
6,MEM,51-31,0.6219512195121951
7,SAC,48-34,0.5853658536585366
8,NYK,47-35,0.573170731707317
9,BKN,45-37,0.5487804878048781
10,PHO,45-37,0.5487804878048781
11,GSW,44-38,0.5365853658536586
12,LAC,44-38,0.5365853658536586
13,MIA,44-38,0.5365853658536586
14,LAL,43-39,0.524390243902439
15,MIN,42-40,0.5121951219512195
16,NOP,42-40,0.5121951219512195
17,ATL,41-41,0.5
18,TOR,41-41,0.5
19,CHI,40-42,0.4878048780487805
20,OKC,40-42,0.4878048780487805
21,DAL,38-44,0.4634146341463415
22,UTA,37-45,0.45121951219512196
23,IND,35-47,0.4268292682926829
24,WAS,35-47,0.4268292682926829
25,ORL,34-48,0.4146341463414634
26,POR,33-49,0.4024390243902439
27,CHA,27-55,0.32926829268292684
28,HOU,22-60,0.2682926829268293
29,SAS,22-60,0.2682926829268293
30,DET,17-65,0.2073170731707317
