Rk,Tm,Overall,Balance
1,SAS,58-24,0.7073170731707317
2,LAL,56-26,0.6829268292682927
3,PHI,56-26,0.6829268292682927
4,SAC,55-27,0.6707317073170732
5,DAL,53-29,0.6463414634146342
6,UTA,53-29,0.6463414634146342
7,MIL,52-30,0.6341463414634146
8,PHO,51-31,0.6219512195121951
9,MIA,50-32,0.6097560975609756
10,POR,50-32,0.6097560975609756
11,NYK,48-34,0.5853658536585366
12,MIN,47-35,0.573170731707317
13,TOR,47-35,0.573170731707317
14,CHO,46-36,0.5609756097560976
15,HOU,45-37,0.5487804878048781
16,SEA,44-38,0.5365853658536586
17,ORL,43-39,0.524390243902439
18,IND,41-41,0.5
19,DEN,40-42,0.4878048780487805
20,BOS,36-46,0.43902439024390244
21,DET,32-50,0.3902439024390244
22,LAC,31-51,0.3780487804878049
23,CLE,30-52,0.36585365853658536
24,NJN,26-56,0.3170731707317073
25,ATL,25-57,0.3048780487804878
26,VAN,23-59,0.2804878048780488
27,WAS,19-63,0.23170731707317074
28,GSW,17-65,0.2073170731707317
29,CHI,15-67,0.18292682926829268
