Rk,Tm,Overall,Balance
1,GSW,73-9,0.8902439024390244
2,SAS,67-15,0.8170731707317073
3,CLE,57-25,0.6951219512195121
4,TOR,56-26,0.6829268292682927
5,OKC,55-27,0.6707317073170732
6,LAC,53-29,0.6463414634146342
7,ATL,48-34,0.5853658536585366
8,BOS,48-34,0.5853658536585366
9,CHA,48-34,0.5853658536585366
10,MIA,48-34,0.5853658536585366
11,IND,45-37,0.5487804878048781
12,DET,44-38,0.5365853658536586
13,POR,44-38,0.5365853658536586
14,DAL,42-40,0.5121951219512195
15,MEM,42-40,0.5121951219512195
16,CHI,42-40,0.5121951219512195
17,HOU,41-41,0.5
18,WAS,41-41,0.5
19,UTA,40-42,0.4878048780487805
20,ORL,35-47,0.4268292682926829
21,DEN,33-49,0.4024390243902439
22,MIL,33-49,0.4024390243902439
23,SAC,33-49,0.4024390243902439
24,NYK,32-50,0.3902439024390244
25,NOP,30-52,0.36585365853658536
26,MIN,29-53,0.35365853658536583
27,PHX,23-59,0.2804878048780488
28,BKN,21-61,0.25609756097560976
29,LAL,17-65,0.2073170731707317
30,PHI,10-72,0.12195121951219512
