Rk,Tm,Overall,Balance
1,PHO,64-18,0.7804878048780488
2,MEM,56-26,0.6829268292682927
3,GSW,53-29,0.6463414634146342
4,MIA,53-29,0.6463414634146342
5,DAL,52-30,0.6341463414634146
6,BOS,51-31,0.6219512195121951
7,MIL,51-31,0.6219512195121951
8,PHI,51-31,0.6219512195121951
9,UTA,49-33,0.5975609756097561
10,DEN,48-34,0.5853658536585366
11,TOR,48-34,0.5853658536585366
12,CHI,46-36,0.5609756097560976
13,MIN,46-36,0.5609756097560976
14,BKN,44-38,0.5365853658536586
15,CLE,44-38,0.5365853658536586
16,ATL,43-39,0.524390243902439
17,CHO,43-39,0.524390243902439
18,LAC,42-40,0.5121951219512195
19,NYK,37-45,0.45121951219512196
20,NOP,36-46,0.43902439024390244
21,WAS,35-47,0.4268292682926829
22,SAS,34-48,0.4146341463414634
23,LAL,33-49,0.4024390243902439
24,SAC,30-52,0.36585365853658536
25,POR,27-55,0.32926829268292684
26,IND,25-57,0.3048780487804878
27,OKC,24-58,0.2926829268292683
28,DET,23-59,0.2804878048780488
29,ORL,22-60,0.2682926829268293
30,HOU,20-62,0.24390243902439024
