Rk,Tm,Overall,Balance
1,MIL,56-17,0.7671232876712328
2,TOR,53-19,0.7361111111111112
3,LAL,52-19,0.7323943661971831
4,LAC,49-23,0.6805555555555556
5,BOS,48-24,0.6666666666666666
6,DEN,46-27,0.6301369863013698
7,IND,45-28,0.6164383561643836
8,HOU,44-28,0.6111111111111112
9,MIA,44-29,0.6027397260273972
10,OKC,44-28,0.6111111111111112
11,UTA,44-28,0.6111111111111112
12,DAL,43-32,0.5733333333333334
13,PHI,43-30,0.589041095890411
14,BKN,35-37,0.4861111111111111
15,POR,35-39,0.47297297297297297
16,MEM,34-39,0.4657534246575342
17,PHO,34-39,0.4657534246575342
18,ORL,33-40,0.4520547945205479
19,SAS,32-39,0.4507042253521127
20,SAC,31-41,0.4305555555555556
21,NOP,30-42,0.4166666666666667
22,WAS,25-47,0.3472222222222222
23,CHO,23-42,0.35384615384615387
24,CHI,22-43,0.3384615384615385
25,NYK,21-45,0.3181818181818182
26,ATL,20-47,0.29850746268656714
27,DET,20-46,0.30303030303030304
28,CLE,19-46,0.2923076923076923
29,MIN,19-45,0.296875
30,GSW,15-50,0.23076923076923078
