Rk,Tm,Overall,Balance
1,DET,64-18,0.7804878048780488
2,SAS,63-19,0.7682926829268293
3,DAL,60-22,0.7317073170731707
4,PHO,54-28,0.6585365853658537
5,MIA,52-30,0.6341463414634146
6,CLE,50-32,0.6097560975609756
7,MEM,49-33,0.5975609756097561
8,NJN,49-33,0.5975609756097561
9,LAC,47-35,0.573170731707317
10,LAL,45-37,0.5487804878048781
11,DEN,44-38,0.5365853658536586
12,SAC,44-38,0.5365853658536586
13,WAS,42-40,0.5121951219512195
14,CHI,41-41,0.5
15,IND,41-41,0.5
16,UTA,41-41,0.5
17,MIL,40-42,0.4878048780487805
18,NOK,38-44,0.4634146341463415
19,PHI,38-44,0.4634146341463415
20,ORL,36-46,0.43902439024390244
21,SEA,35-47,0.4268292682926829
22,GSW,34-48,0.4146341463414634
23,HOU,34-48,0.4146341463414634
24,BOS,33-49,0.4024390243902439
25,MIN,33-49,0.4024390243902439
26,TOR,27-55,0.32926829268292684
27,ATL,26-56,0.3170731707317073
28,CHA,26-56,0.3170731707317073
29,NYK,23-59,0.2804878048780488
30,POR,21-61,0.25609756097560976
