Rk,Tm,Overall,Balance
1,CLE,66-16,0.8048780487804879
2,LAL,65-17,0.7926829268292683
3,BOS,62-20,0.7560975609756098
4,ORL,59-23,0.7195121951219512
5,DEN,54-28,0.6585365853658537
6,POR,54-28,0.6585365853658537
7,SAS,54-28,0.6585365853658537
8,HOU,53-29,0.6463414634146342
9,DAL,50-32,0.6097560975609756
10,NOH,49-33,0.5975609756097561
11,UTA,48-34,0.5853658536585366
12,ATL,47-35,0.573170731707317
13,PHO,46-36,0.5609756097560976
14,MIA,43-39,0.524390243902439
15,CHI,41-41,0.5
16,PHI,41-41,0.5
17,DET,39-43,0.47560975609756095
18,IND,36-46,0.43902439024390244
19,CHA,35-47,0.4268292682926829
20,MIL,34-48,0.4146341463414634
21,NJN,34-48,0.4146341463414634
22,TOR,33-49,0.4024390243902439
23,NYK,32-50,0.3902439024390244
24,GSW,29-53,0.35365853658536583
25,MEM,24-58,0.2926829268292683
26,MIN,24-58,0.2926829268292683
27,OKC,23-59,0.2804878048780488
28,LAC,19-63,0.23170731707317074
29,WAS,19-63,0.23170731707317074
30,SAC,17-65,0.2073170731707317
