Rk,Player,Pos,Tm,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
5,Nickeil Alexander-Walker,SG,NOP,47,591,98,266,0.368,46,133,0.346,52,133,0.391,0.455,25,37,0.676,9,75,84,89,17,8,54,57,267,8.9,0.473,0.5,0.139,1.6,13.5,7.5,21.1,1.3,1.1,16.1,23.3,-0.7,0.4,-0.2,-0.02,-3.2,-1.4,-4.6,-0.4
28,RJ Barrett,SG,NYK,56,1704,292,727,0.402,63,197,0.32,229,530,0.432,0.445,156,254,0.614,50,229,279,143,55,17,124,122,803,10.7,0.479,0.271,0.349,3.0,14.8,8.7,12.8,1.6,0.9,12.9,24.0,-1.6,1.1,-0.5,-0.015,-2.9,-1.5,-4.3,-1.0
34,Darius Bazley,PF,OKC,61,1130,125,317,0.394,49,141,0.348,76,176,0.432,0.472,43,62,0.694,30,216,246,41,23,41,45,55,342,9.6,0.497,0.445,0.196,3.0,20.5,12.0,5.1,1.0,3.1,11.6,15.1,-0.5,1.5,1.0,0.041,-2.1,0.5,-1.6,0.1
44,Goga Bitadze,C,IND,54,471,70,150,0.467,8,42,0.19,62,108,0.574,0.493,24,33,0.727,25,81,106,23,10,37,28,65,172,12.1,0.523,0.28,0.22,5.9,18.7,12.3,6.7,1.0,6.9,14.5,17.9,-0.1,0.8,0.7,0.067,-4.1,1.8,-2.3,0.0
50,Bol Bol,PF,DEN,7,87,14,28,0.5,4,9,0.444,10,19,0.526,0.571,8,10,0.8,5,14,19,6,2,6,10,11,40,14.4,0.617,0.321,0.357,6.4,18.0,12.2,9.8,1.1,6.4,23.6,21.2,0.0,0.1,0.1,0.063,-2.3,-0.7,-3.0,0.0
53,Jordan Bone,PG,DET,10,53,5,20,0.25,2,10,0.2,3,10,0.3,0.3,0,0,,0,4,4,8,1,0,2,6,12,0.8,0.3,0.5,0.0,0.0,8.7,4.3,21.0,0.9,0.0,9.1,18.1,-0.1,0.0,-0.1,-0.117,-9.1,-2.8,-11.9,-0.1
61,Jarrell Brantley,PF,UTA,9,96,10,28,0.357,3,13,0.231,7,15,0.467,0.411,1,2,0.5,2,18,20,11,3,5,7,7,24,8.0,0.416,0.464,0.071,2.4,19.9,11.5,15.8,1.5,4.3,19.5,16.3,-0.2,0.1,0.0,-0.006,-5.3,0.7,-4.6,-0.1
62,Ignas Brazdeikis,SF,NYK,9,53,6,22,0.273,1,9,0.111,5,13,0.385,0.295,4,5,0.8,2,3,5,4,0,1,2,3,17,3.2,0.351,0.409,0.227,3.9,6.2,5.0,10.6,0.0,1.8,7.6,21.0,-0.1,0.0,-0.1,-0.108,-5.1,-3.9,-9.0,-0.1
102,Brandon Clarke,PF,MEM,58,1300,296,479,0.618,23,64,0.359,273,415,0.658,0.642,85,112,0.759,92,253,345,81,32,48,55,100,700,20.9,0.663,0.134,0.234,7.6,20.1,14.0,9.5,1.1,3.2,9.4,18.7,3.4,1.6,5.0,0.183,2.4,0.7,3.1,1.7
104,Nic Claxton,C,BRK,15,187,27,48,0.563,1,7,0.143,26,41,0.634,0.573,11,21,0.524,19,25,44,16,1,8,9,14,66,14.8,0.577,0.146,0.438,10.7,13.6,12.2,12.4,0.3,3.6,13.6,14.8,0.3,0.2,0.5,0.121,-0.7,0.1,-0.7,0.1
119,Jarrett Culver,SG,MIN,63,1506,230,569,0.404,66,221,0.299,164,348,0.471,0.462,54,117,0.462,70,142,212,110,57,38,81,125,580,9.6,0.467,0.388,0.206,4.7,10.3,7.4,10.8,1.8,2.1,11.5,19.2,-1.2,1.1,-0.1,-0.004,-3.3,-0.7,-4.0,-0.8
137,Sekou Doumbouya,PF,DET,38,754,92,236,0.39,28,98,0.286,64,138,0.464,0.449,31,46,0.674,20,98,118,19,20,8,35,80,243,6.2,0.474,0.415,0.195,3.0,14.9,8.9,3.6,1.3,0.9,12.0,16.9,-0.8,0.5,-0.3,-0.02,-5.2,-1.4,-6.7,-0.9
143,Carsen Edwards,SG,BOS,37,351,42,128,0.328,24,76,0.316,18,52,0.346,0.422,13,19,0.684,6,41,47,24,12,4,15,34,121,6.9,0.444,0.594,0.148,1.9,12.4,7.2,9.3,1.7,1.1,9.9,18.4,-0.3,0.4,0.1,0.014,-4.4,-0.2,-4.6,-0.2
155,Bruno Fernando,C,ATL,56,713,103,199,0.518,5,37,0.135,98,162,0.605,0.53,29,51,0.569,67,131,198,49,18,17,42,107,240,11.9,0.542,0.186,0.256,10.0,20.0,15.0,9.9,1.2,2.0,15.9,15.3,0.4,0.4,0.8,0.055,-3.2,-0.9,-4.1,-0.4
167,Daniel Gafford,C,CHI,43,609,94,134,0.701,0,0,,94,134,0.701,0.701,32,60,0.533,52,54,106,21,13,56,29,98,220,16.2,0.686,0.0,0.448,9.0,10.3,9.6,5.2,1.0,8.7,15.3,13.3,1.1,0.8,1.9,0.146,-2.8,1.5,-1.3,0.1
170,Darius Garland,SG,CLE,59,1824,280,699,0.401,105,296,0.355,175,403,0.434,0.476,63,72,0.875,27,84,111,229,42,4,151,92,728,8.5,0.498,0.423,0.103,1.6,5.2,3.4,18.5,1.1,0.2,17.1,20.7,-1.3,0.0,-1.3,-0.034,-2.7,-2.8,-5.5,-1.7
193,Kyle Guy,SG,SAC,3,10,2,5,0.4,0,3,0.0,2,2,1.0,0.4,0,0,,0,1,1,1,0,0,0,1,4,6.6,0.4,0.6,0.0,0.0,11.5,5.6,15.6,0.0,0.0,0.0,21.7,0.0,0.0,0.0,-0.045,-7.5,-4.8,-12.3,0.0
194,Rui Hachimura,PF,WAS,48,1444,254,545,0.466,25,87,0.287,229,458,0.5,0.489,116,140,0.829,78,216,294,87,37,8,53,105,649,13.5,0.535,0.16,0.257,5.7,17.0,11.1,8.8,1.2,0.5,8.0,19.0,1.3,0.5,1.8,0.06,-1.2,-2.0,-3.2,-0.4
