Rk,Player,Pos,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
15,Gilbert Arenas,PG,47,1155,174,384,0.453,39,113,0.345,135,271,0.498,0.504,124,160,0.775,41,91,132,174,69,11,97,115,511,17.0,0.562,0.294,0.417,3.7,8.7,6.1,24.8,3.0,0.6,17.6,20.1,2.1,0.7,2.7,0.114,1.0,0.0,1.0,0.9
16,Brandon Armstrong,SG,35,196,27,85,0.318,5,17,0.294,22,68,0.324,0.347,5,10,0.5,10,6,16,8,7,1,8,26,64,3.8,0.358,0.2,0.118,5.7,3.5,4.6,6.5,1.9,0.4,8.2,22.3,-0.4,0.2,-0.2,-0.054,-7.4,-1.7,-9.0,-0.3
31,Shane Battier,SF,78,3097,412,961,0.429,103,276,0.373,309,685,0.451,0.482,198,283,0.7,180,238,418,216,121,81,155,215,1125,13.9,0.518,0.287,0.294,6.5,8.6,7.5,11.9,2.1,1.8,12.5,18.2,2.7,2.1,4.8,0.074,0.2,0.3,0.5,1.9
42,Ruben Boumtje-Boumtje,C,33,245,13,32,0.406,0,0,,13,32,0.406,0.406,13,25,0.52,21,34,55,4,3,16,14,38,39,6.5,0.453,0.0,0.781,10.0,16.5,13.2,2.3,0.7,5.0,24.6,10.6,-0.1,0.3,0.2,0.03,-6.1,0.5,-5.6,-0.2
48,Michael Bradley,PF,26,118,13,25,0.52,0,2,0.0,13,23,0.565,0.52,4,8,0.5,7,17,24,3,0,6,6,10,30,9.9,0.526,0.08,0.32,6.6,17.1,11.7,4.0,0.0,3.8,17.4,13.4,0.0,0.1,0.1,0.053,-3.7,-1.1,-4.8,-0.1
52,Jamison Brewer,SG,13,43,2,5,0.4,0,1,0.0,2,4,0.5,0.4,0,0,,2,6,8,9,2,0,3,3,4,10.0,0.4,0.2,0.0,5.4,15.4,10.5,30.3,2.4,0.0,37.5,8.4,0.0,0.1,0.0,0.052,-3.2,2.2,-1.0,0.0
55,Damone Brown,SF,17,67,8,21,0.381,0,1,0.0,8,20,0.4,0.381,7,8,0.875,2,2,4,2,1,1,9,11,23,1.6,0.469,0.048,0.381,3.4,3.4,3.4,5.0,0.8,1.1,26.8,22.9,-0.2,0.1,-0.1,-0.096,-8.5,-2.5,-11.1,-0.1
58,Kedrick Brown,SF,29,245,23,70,0.329,5,27,0.185,18,43,0.419,0.364,12,20,0.6,11,39,50,15,18,7,7,18,63,11.9,0.4,0.386,0.286,4.8,17.9,11.2,9.8,3.8,2.2,8.2,16.0,-0.1,0.5,0.4,0.075,-2.3,3.1,0.8,0.2
59,Kwame Brown,PF,57,817,94,243,0.387,0,1,0.0,94,242,0.388,0.387,70,99,0.707,63,135,198,43,16,26,43,105,258,11.2,0.45,0.004,0.407,8.9,19.4,14.1,8.4,1.1,2.4,13.0,18.6,0.0,0.8,0.8,0.048,-3.1,-0.9,-4.0,-0.4
79,Tyson Chandler,C,71,1389,151,304,0.497,0,0,,151,304,0.497,0.497,134,222,0.604,114,229,343,54,28,93,99,179,436,13.0,0.543,0.0,0.73,9.3,19.8,14.4,6.5,1.1,5.0,19.8,16.6,0.4,1.4,1.8,0.062,-3.3,-0.2,-3.5,-0.5
89,Jarron Collins,C,70,1440,158,343,0.461,0,1,0.0,158,342,0.462,0.461,134,181,0.74,138,158,296,58,29,22,56,234,450,11.5,0.532,0.003,0.528,11.5,13.3,12.4,6.6,1.1,1.2,11.7,15.0,2.3,1.0,3.3,0.111,-2.1,-1.2,-3.3,-0.5
90,Jason Collins,C,77,1407,117,278,0.421,1,2,0.5,116,276,0.42,0.423,115,164,0.701,132,169,301,81,29,47,72,173,350,10.7,0.5,0.007,0.59,10.5,13.6,12.0,8.4,1.1,2.4,17.1,13.5,1.0,2.0,3.0,0.104,-2.6,0.6,-2.1,0.0
